epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85133,3.73229,3.62578,4.07919,0.00047,0.01776,0.00024,9e-05,3.70789,3.99066,4.16575,0.00064,0.00064,0.00064
2,13.6674,3.06993,2.85885,3.47106,0.00472,0.20082,0.00422,0.00149,3.40796,3.52019,3.82613,0.00129571,0.00129571,0.00129571
3,20.6307,2.63396,2.42387,2.72928,0.3386,0.0929,0.07461,0.02149,2.75276,2.83724,2.97834,0.00194706,0.00194706,0.00194706
4,27.182,2.34567,2.00776,2.34685,0.44484,0.37705,0.32553,0.15115,1.9784,1.95041,2.13996,0.0019802,0.0019802,0.0019802
5,33.7632,2.10398,1.74671,2.12977,0.57484,0.51503,0.5005,0.24867,1.7473,2.31891,1.90034,0.0019736,0.0019736,0.0019736
6,39.7291,1.98329,1.6293,1.9545,0.61151,0.44126,0.45382,0.23733,1.71798,2.14241,1.87176,0.001967,0.001967,0.001967
7,46.1468,1.8706,1.48849,1.84022,0.70208,0.59699,0.64288,0.34905,1.58429,1.65143,1.68627,0.0019604,0.0019604,0.0019604
8,51.3847,1.78754,1.39873,1.751,0.66025,0.60656,0.6289,0.34976,1.48376,1.65282,1.62513,0.0019538,0.0019538,0.0019538
9,58.1542,1.74142,1.3312,1.64804,0.65745,0.6653,0.66492,0.38801,1.41941,1.33537,1.5845,0.0019472,0.0019472,0.0019472
10,63.771,1.66401,1.27747,1.62463,0.71915,0.62978,0.68195,0.3915,1.40671,1.26791,1.52621,0.0019406,0.0019406,0.0019406
11,69.8822,1.60887,1.22945,1.57083,0.65081,0.66257,0.6408,0.36741,1.43937,1.22729,1.55402,0.001934,0.001934,0.001934
12,75.5672,1.59085,1.22505,1.57084,0.67374,0.68852,0.70508,0.41487,1.3838,1.43524,1.52437,0.0019274,0.0019274,0.0019274
13,81.6378,1.55628,1.18774,1.51965,0.77911,0.70355,0.76009,0.4571,1.38513,1.03879,1.51619,0.0019208,0.0019208,0.0019208
14,87.9414,1.57598,1.20479,1.49712,0.66185,0.68989,0.67713,0.40758,1.37557,1.3232,1.48286,0.0019142,0.0019142,0.0019142
15,94.2463,1.49706,1.13778,1.51434,0.7685,0.64398,0.72044,0.43116,1.28999,1.16473,1.45058,0.0019076,0.0019076,0.0019076
16,100.286,1.5042,1.11982,1.47756,0.72155,0.71863,0.73706,0.4499,1.30867,1.18561,1.44348,0.001901,0.001901,0.001901
17,106.095,1.45935,1.12547,1.44734,0.7463,0.70628,0.74874,0.45254,1.29176,1.18017,1.44055,0.0018944,0.0018944,0.0018944
18,112.353,1.44979,1.09555,1.43498,0.7335,0.68579,0.73675,0.44727,1.33921,0.98399,1.41241,0.0018878,0.0018878,0.0018878
19,117.958,1.4164,1.03946,1.40491,0.77692,0.7232,0.80241,0.51264,1.19953,1.05122,1.3618,0.0018812,0.0018812,0.0018812
20,124.949,1.42787,1.05151,1.41212,0.77323,0.72404,0.78339,0.49581,1.23958,0.91911,1.35029,0.0018746,0.0018746,0.0018746
21,130.968,1.382,1.02907,1.3836,0.77522,0.7397,0.80065,0.50422,1.27355,0.97093,1.40755,0.001868,0.001868,0.001868
22,138.124,1.38746,1.03322,1.40398,0.79616,0.72568,0.8084,0.52736,1.18187,0.92847,1.3232,0.0018614,0.0018614,0.0018614
23,143.731,1.33416,0.97173,1.33964,0.73114,0.74044,0.77506,0.49361,1.20371,1.18015,1.35117,0.0018548,0.0018548,0.0018548
24,149.877,1.35792,0.99621,1.38261,0.74657,0.7623,0.80234,0.5037,1.21586,0.90145,1.3574,0.0018482,0.0018482,0.0018482
25,155.993,1.34214,0.96496,1.33056,0.73947,0.75137,0.80108,0.51711,1.21445,0.90981,1.36743,0.0018416,0.0018416,0.0018416
26,162.039,1.35287,0.96506,1.35528,0.73412,0.77326,0.80814,0.5302,1.14021,0.91935,1.30372,0.001835,0.001835,0.001835
27,167.492,1.33035,0.95276,1.32763,0.76544,0.75786,0.81944,0.54022,1.15997,0.95323,1.31171,0.0018284,0.0018284,0.0018284
28,173.041,1.30068,0.92129,1.33409,0.78208,0.74727,0.81904,0.52757,1.2249,0.85791,1.35541,0.0018218,0.0018218,0.0018218
29,179.666,1.32703,0.96594,1.33976,0.76022,0.7493,0.78711,0.50955,1.18228,1.21808,1.30389,0.0018152,0.0018152,0.0018152
30,186.324,1.31659,0.96457,1.33111,0.77206,0.80464,0.83642,0.55381,1.16787,0.86026,1.3063,0.0018086,0.0018086,0.0018086
31,192.078,1.28527,0.93166,1.33279,0.766,0.7541,0.81552,0.53078,1.19568,0.82536,1.33916,0.001802,0.001802,0.001802
32,198.235,1.28134,0.91663,1.30554,0.7672,0.78415,0.83932,0.55506,1.12255,0.85704,1.27391,0.0017954,0.0017954,0.0017954
33,203.344,1.30504,0.92215,1.28801,0.81721,0.7418,0.84061,0.56065,1.11242,0.81333,1.27545,0.0017888,0.0017888,0.0017888
34,209.309,1.28229,0.90558,1.31341,0.76843,0.77322,0.82932,0.54586,1.13596,0.93265,1.28284,0.0017822,0.0017822,0.0017822
35,215.384,1.27805,0.91036,1.28854,0.80176,0.7541,0.83881,0.55532,1.14338,0.85307,1.29138,0.0017756,0.0017756,0.0017756
36,221.596,1.25519,0.88323,1.28578,0.77471,0.77322,0.84039,0.56772,1.0973,0.81933,1.26979,0.001769,0.001769,0.001769
37,227.182,1.28723,0.90075,1.30192,0.74732,0.82426,0.85247,0.5753,1.11305,0.7861,1.26792,0.0017624,0.0017624,0.0017624
38,233.28,1.25654,0.86548,1.31279,0.78401,0.81323,0.86009,0.57469,1.09677,0.80811,1.25377,0.0017558,0.0017558,0.0017558
39,239.785,1.25357,0.8734,1.28074,0.79165,0.77322,0.84423,0.55977,1.12372,0.8121,1.27876,0.0017492,0.0017492,0.0017492
40,245.594,1.25395,0.88388,1.3021,0.77227,0.79219,0.84884,0.56333,1.14159,0.76656,1.29364,0.0017426,0.0017426,0.0017426
41,251.57,1.26235,0.87244,1.28238,0.7473,0.8265,0.85032,0.57142,1.12516,0.77636,1.28209,0.001736,0.001736,0.001736
42,257.335,1.22817,0.86732,1.28659,0.80138,0.79098,0.86008,0.57628,1.12385,0.7544,1.26734,0.0017294,0.0017294,0.0017294
43,263.746,1.2598,0.86713,1.26792,0.79676,0.80874,0.86283,0.58527,1.09415,0.80608,1.24843,0.0017228,0.0017228,0.0017228
44,270.806,1.21276,0.84147,1.27555,0.76854,0.81557,0.85081,0.5705,1.10069,0.8471,1.25229,0.0017162,0.0017162,0.0017162
45,276.573,1.25381,0.85402,1.27624,0.78407,0.78279,0.85933,0.58293,1.08346,0.76967,1.25309,0.0017096,0.0017096,0.0017096
46,282.279,1.24469,0.85939,1.267,0.75126,0.8046,0.84845,0.57352,1.09054,0.78335,1.25385,0.001703,0.001703,0.001703
47,288.985,1.23453,0.83305,1.25186,0.78482,0.81011,0.85762,0.56947,1.07508,0.86051,1.22491,0.0016964,0.0016964,0.0016964
48,295.19,1.22304,0.82015,1.2529,0.78089,0.80055,0.84646,0.56872,1.06764,0.7952,1.22219,0.0016898,0.0016898,0.0016898
49,301.637,1.23035,0.87136,1.27356,0.77325,0.82926,0.87343,0.59612,1.05529,0.71766,1.22316,0.0016832,0.0016832,0.0016832
50,307.588,1.21876,0.836,1.24935,0.78495,0.83743,0.8739,0.59859,1.05871,0.69359,1.22674,0.0016766,0.0016766,0.0016766
51,313.745,1.21832,0.85382,1.27499,0.78707,0.82312,0.87362,0.59829,1.08109,0.70747,1.23266,0.00167,0.00167,0.00167
52,320.157,1.1991,0.80307,1.25252,0.76635,0.81548,0.86239,0.5865,1.06954,0.79581,1.24745,0.0016634,0.0016634,0.0016634
53,326.234,1.23808,0.84192,1.24743,0.78794,0.81724,0.85253,0.57588,1.1058,0.78376,1.2496,0.0016568,0.0016568,0.0016568
54,332.01,1.19422,0.80944,1.2461,0.79977,0.81694,0.87881,0.58736,1.11662,0.73675,1.27337,0.0016502,0.0016502,0.0016502
55,338.354,1.21494,0.83244,1.25345,0.79506,0.8306,0.87456,0.59302,1.07619,0.77389,1.23023,0.0016436,0.0016436,0.0016436
56,344.761,1.2031,0.81899,1.25837,0.78402,0.83311,0.87049,0.58696,1.06662,0.79462,1.21569,0.001637,0.001637,0.001637
57,350.61,1.18847,0.80164,1.23948,0.80905,0.83927,0.87736,0.60199,1.05861,0.78529,1.23033,0.0016304,0.0016304,0.0016304
58,356.65,1.15563,0.78528,1.21833,0.792,0.83197,0.88632,0.60996,1.04247,0.68231,1.2084,0.0016238,0.0016238,0.0016238
59,362.537,1.17792,0.79122,1.23711,0.82998,0.78696,0.88901,0.6113,1.03617,0.65476,1.21036,0.0016172,0.0016172,0.0016172
60,368.367,1.21508,0.82339,1.26837,0.75526,0.8306,0.86053,0.58051,1.09875,0.80228,1.26353,0.0016106,0.0016106,0.0016106
61,374.1,1.17633,0.78512,1.23098,0.79221,0.84563,0.88728,0.6128,1.04439,0.67475,1.21314,0.001604,0.001604,0.001604
62,380.79,1.17682,0.80799,1.24216,0.80459,0.83333,0.88825,0.61789,1.03453,0.67644,1.2106,0.0015974,0.0015974,0.0015974
63,387.057,1.15802,0.78918,1.24433,0.80912,0.82514,0.88715,0.61175,1.05076,0.70404,1.22548,0.0015908,0.0015908,0.0015908
64,392.485,1.15921,0.77927,1.23301,0.77994,0.84836,0.87777,0.61178,1.04223,0.6716,1.21107,0.0015842,0.0015842,0.0015842
65,398.574,1.17851,0.78414,1.2482,0.79184,0.87306,0.88832,0.61537,1.03754,0.68164,1.20206,0.0015776,0.0015776,0.0015776
66,404.508,1.19249,0.80773,1.21941,0.79003,0.82757,0.88135,0.61126,1.04059,0.723,1.20631,0.001571,0.001571,0.001571
67,410.207,1.16965,0.76939,1.22597,0.80327,0.8367,0.89327,0.61962,1.02708,0.6774,1.20119,0.0015644,0.0015644,0.0015644
68,416.682,1.17076,0.75508,1.21225,0.77202,0.87568,0.88967,0.6196,1.03577,0.6443,1.20206,0.0015578,0.0015578,0.0015578
69,422.314,1.1643,0.7759,1.22046,0.7941,0.8429,0.89059,0.62455,1.02957,0.68638,1.1892,0.0015512,0.0015512,0.0015512
70,428.847,1.1482,0.75415,1.20337,0.7774,0.84699,0.87922,0.61101,1.04742,0.66525,1.22229,0.0015446,0.0015446,0.0015446
71,435.745,1.1429,0.75192,1.20372,0.79375,0.83197,0.88913,0.61472,1.03069,0.64527,1.19892,0.001538,0.001538,0.001538
72,441.375,1.12478,0.75284,1.19723,0.81383,0.84016,0.89352,0.62206,1.01328,0.69447,1.18446,0.0015314,0.0015314,0.0015314
73,447.403,1.12858,0.75454,1.20865,0.76828,0.85792,0.8859,0.61028,1.04997,0.68934,1.21836,0.0015248,0.0015248,0.0015248
74,453.028,1.17845,0.7848,1.21876,0.80367,0.85792,0.89827,0.62727,1.02557,0.66233,1.19711,0.0015182,0.0015182,0.0015182
75,458.726,1.17225,0.76335,1.21862,0.79302,0.86339,0.8972,0.62162,1.03283,0.65703,1.19003,0.0015116,0.0015116,0.0015116
76,464.74,1.12916,0.75023,1.21744,0.78155,0.88388,0.8951,0.63281,1.01305,0.65,1.18503,0.001505,0.001505,0.001505
77,470.013,1.11768,0.74598,1.21834,0.80729,0.8224,0.88655,0.61626,1.01436,0.89524,1.17791,0.0014984,0.0014984,0.0014984
78,475.899,1.10683,0.73271,1.1921,0.80473,0.86702,0.90118,0.63203,1.01433,0.65179,1.19178,0.0014918,0.0014918,0.0014918
79,482.574,1.12906,0.74513,1.20936,0.81005,0.85639,0.89704,0.62918,1.03692,0.64686,1.20185,0.0014852,0.0014852,0.0014852
80,488.409,1.14413,0.73112,1.18414,0.78345,0.86987,0.89603,0.63437,1.00709,0.63844,1.18521,0.0014786,0.0014786,0.0014786
81,494.553,1.13102,0.74811,1.21006,0.76289,0.87295,0.88969,0.61863,1.00478,0.71982,1.17651,0.001472,0.001472,0.001472
82,500.617,1.13298,0.75366,1.21625,0.787,0.85519,0.89526,0.62236,1.02972,0.6629,1.18884,0.0014654,0.0014654,0.0014654
