epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18598,3.33297,3.6895,2.71589,0.00458,0.19536,0.00284,0.00083,3.57152,3.89879,2.57489,0.00064,0.00064,0.00064
2,15.5795,2.85712,3.16811,2.33721,0.00404,0.17213,0.00247,0.0009,3.51943,3.8575,2.57797,0.00129571,0.00129571,0.00129571
3,23.6262,2.37041,2.58719,1.95722,0.00926,0.39481,0.01227,0.00366,2.81653,3.5205,2.50838,0.00194706,0.00194706,0.00194706
4,32.1085,2.18889,2.36142,1.78369,0.44453,0.40847,0.34726,0.12098,2.22697,2.55685,1.81903,0.0019802,0.0019802,0.0019802
5,39.3684,2.04849,2.10151,1.65869,0.45286,0.43852,0.37485,0.13659,2.14504,2.82998,1.72055,0.0019736,0.0019736,0.0019736
6,46.4802,1.97112,1.94377,1.58224,0.53945,0.40644,0.38688,0.12022,2.18477,3.86741,1.74183,0.001967,0.001967,0.001967
7,54.7936,1.94988,1.83357,1.53422,0.50559,0.4959,0.44853,0.15225,2.04728,3.76196,1.65709,0.0019604,0.0019604,0.0019604
8,61.3567,1.86582,1.74208,1.50428,0.5932,0.54645,0.54153,0.22297,1.82741,2.31492,1.46431,0.0019538,0.0019538,0.0019538
9,70.6726,1.81981,1.74662,1.45113,0.61968,0.60929,0.601,0.22031,1.9787,1.71314,1.52717,0.0019472,0.0019472,0.0019472
10,80.0217,1.75913,1.62615,1.42519,0.52404,0.57307,0.50058,0.19262,1.96916,2.13306,1.50666,0.0019406,0.0019406,0.0019406
11,86.136,1.7476,1.55282,1.39875,0.59552,0.64071,0.59788,0.24097,1.96535,1.63036,1.46494,0.001934,0.001934,0.001934
12,92.7155,1.75036,1.58483,1.39364,0.61737,0.59153,0.588,0.16897,2.25991,1.63063,1.65301,0.0019274,0.0019274,0.0019274
13,99.6701,1.73423,1.53305,1.37699,0.60873,0.60792,0.61922,0.20427,1.99623,1.70526,1.53047,0.0019208,0.0019208,0.0019208
14,106.85,1.65869,1.44612,1.34823,0.6979,0.65329,0.67371,0.24685,1.91732,1.69084,1.46855,0.0019142,0.0019142,0.0019142
15,113.947,1.65644,1.43176,1.33272,0.71586,0.65737,0.68418,0.28328,1.7901,2.14555,1.40442,0.0019076,0.0019076,0.0019076
16,120.335,1.61637,1.37409,1.33719,0.70709,0.69583,0.71088,0.26418,1.92621,1.6103,1.47387,0.001901,0.001901,0.001901
