epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.90046,3.35577,3.6999,2.69513,0.00442,0.18852,0.00288,0.00073,3.56951,3.8686,2.49714,0.00064,0.00064,0.00064
2,14.8403,2.96989,3.28189,2.35227,0.00221,0.09426,0.00733,0.00305,3.51882,3.98105,2.93369,0.00129571,0.00129571,0.00129571
3,22.523,2.3867,2.66596,1.92787,0.00854,0.34699,0.00678,0.00192,3.14581,3.87889,2.76069,0.00194706,0.00194706,0.00194706
4,30.1088,2.17389,2.36692,1.76033,0.39418,0.35109,0.2999,0.09445,2.22175,2.61541,1.8018,0.0019802,0.0019802,0.0019802
5,37.4493,2.0051,2.09643,1.63755,0.49293,0.48087,0.44746,0.15376,2.0981,2.78027,1.7207,0.0019736,0.0019736,0.0019736
6,44.7736,1.94159,1.93951,1.54059,0.58975,0.50864,0.51984,0.17839,2.01604,2.78647,1.61921,0.001967,0.001967,0.001967
7,52.6973,1.93626,1.83661,1.50654,0.44868,0.39469,0.35252,0.10413,2.15041,4.12309,1.61837,0.0019604,0.0019604,0.0019604
8,58.9582,1.85952,1.75402,1.47425,0.61241,0.58743,0.57011,0.19809,2.05146,2.04361,1.55723,0.0019538,0.0019538,0.0019538
9,66.5554,1.78734,1.72473,1.42927,0.58734,0.58197,0.58278,0.20898,1.99634,1.9218,1.53294,0.0019472,0.0019472,0.0019472
10,72.9385,1.73437,1.62526,1.3993,0.61541,0.5847,0.58714,0.21007,2.03367,1.66201,1.48577,0.0019406,0.0019406,0.0019406
11,79.3862,1.73928,1.53409,1.37711,0.70967,0.62445,0.67362,0.24638,1.99625,1.69524,1.46803,0.001934,0.001934,0.001934
12,85.9962,1.72359,1.57016,1.363,0.68194,0.57377,0.62134,0.18414,2.08917,1.98124,1.56387,0.0019274,0.0019274,0.0019274
13,92.5094,1.70842,1.52305,1.36039,0.6813,0.62205,0.65443,0.23855,1.93683,1.77522,1.4749,0.0019208,0.0019208,0.0019208
14,99.3283,1.65621,1.43556,1.3365,0.66939,0.64344,0.65271,0.24396,1.87338,2.20941,1.43602,0.0019142,0.0019142,0.0019142
15,106.19,1.66305,1.43858,1.33519,0.66298,0.67077,0.68643,0.27233,1.88322,2.16156,1.44262,0.0019076,0.0019076,0.0019076
16,112.1,1.60551,1.3818,1.32568,0.70507,0.67603,0.69124,0.26902,1.98086,1.48989,1.4551,0.001901,0.001901,0.001901
17,118.515,1.65424,1.415,1.33729,0.6944,0.63326,0.70071,0.28853,1.89872,1.42176,1.4036,0.0018944,0.0018944,0.0018944
18,124.705,1.60237,1.38441,1.29642,0.71965,0.69809,0.72661,0.24143,2.04742,1.5919,1.51933,0.0018878,0.0018878,0.0018878
