epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.08391,3.36106,3.63266,2.76701,0.00372,0.15847,0.00323,0.00095,3.57862,3.86023,2.48572,0.00064,0.00064,0.00064
2,15.2178,2.88545,3.08932,2.33404,0.00474,0.20219,0.00294,0.00108,3.50491,3.79272,2.62279,0.00129571,0.00129571,0.00129571
3,22.7509,2.32848,2.47752,1.89856,0.02718,0.04235,0.01612,0.00546,2.9107,3.72536,2.70428,0.00194706,0.00194706,0.00194706
4,29.4992,2.15721,2.24055,1.74952,0.13247,0.51503,0.09152,0.0287,2.30685,17.4835,1.92634,0.0019802,0.0019802,0.0019802
5,36.3864,2.0132,2.02741,1.63644,0.36815,0.29053,0.21785,0.06281,2.47446,3.37129,2.18268,0.0019736,0.0019736,0.0019736
6,42.9525,1.93998,1.90513,1.56214,0.50539,0.50546,0.44666,0.13162,2.13399,2.96063,1.68592,0.001967,0.001967,0.001967
7,50.4465,1.92884,1.78656,1.50207,0.62594,0.53415,0.54427,0.17215,2.13195,2.39657,1.64092,0.0019604,0.0019604,0.0019604
8,56.6165,1.84986,1.72022,1.47615,0.65493,0.59016,0.60325,0.24547,1.92313,2.00048,1.50443,0.0019538,0.0019538,0.0019538
9,63.7808,1.78729,1.69084,1.44991,0.64318,0.61316,0.61658,0.24196,1.94914,1.81794,1.49512,0.0019472,0.0019472,0.0019472
10,70.1493,1.74622,1.58926,1.40967,0.72069,0.59923,0.65198,0.26082,1.86718,2.1035,1.43703,0.0019406,0.0019406,0.0019406
11,76.4123,1.73537,1.56014,1.40339,0.65416,0.63661,0.62615,0.20526,1.9966,2.17808,1.50797,0.001934,0.001934,0.001934
12,83.2026,1.73698,1.58293,1.39371,0.57473,0.54781,0.53541,0.15329,2.2501,1.9887,1.67978,0.0019274,0.0019274,0.0019274
13,89.9311,1.72659,1.56022,1.39301,0.65792,0.58197,0.62063,0.22814,2.03517,1.63498,1.55432,0.0019208,0.0019208,0.0019208
14,96.8891,1.66065,1.46163,1.34159,0.61599,0.63934,0.62452,0.2112,1.99497,2.15631,1.52128,0.0019142,0.0019142,0.0019142
