epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.15249,3.41007,3.70379,2.73778,0.00513,0.21858,0.00325,0.00092,3.53054,3.86728,2.47439,0.00064,0.00064,0.00064
2,15.0551,3.02115,3.25663,2.395,0.00462,0.19672,0.0028,0.00092,3.48352,3.82108,2.38047,0.00129571,0.00129571,0.00129571
3,22.7792,2.38666,2.59328,1.92701,0.01584,0.09016,0.00718,0.00226,2.91931,6.55367,2.93056,0.00194706,0.00194706,0.00194706
4,29.8706,2.16258,2.2857,1.74823,0.2739,0.29918,0.1848,0.03904,2.49078,3.33337,2.36596,0.0019802,0.0019802,0.0019802
5,36.887,2.01244,2.05005,1.64841,0.46991,0.44672,0.39283,0.12982,2.2568,2.52239,1.88793,0.0019736,0.0019736,0.0019736
6,43.4082,1.96359,1.95679,1.5576,0.48378,0.45219,0.40154,0.11068,2.18998,3.83567,1.72578,0.001967,0.001967,0.001967
7,50.6625,1.91909,1.86003,1.50434,0.51221,0.58607,0.50242,0.16918,2.01671,2.64708,1.55141,0.0019604,0.0019604,0.0019604
8,56.8109,1.84101,1.76051,1.47028,0.58018,0.51503,0.52213,0.22638,1.86108,2.46305,1.47903,0.0019538,0.0019538,0.0019538
9,64.335,1.78251,1.72812,1.43387,0.62699,0.61542,0.62077,0.2375,1.87013,1.71448,1.47048,0.0019472,0.0019472,0.0019472
10,70.6759,1.76112,1.63299,1.40673,0.62304,0.60792,0.62243,0.24109,1.85464,1.83731,1.44693,0.0019406,0.0019406,0.0019406
11,76.924,1.76642,1.5625,1.40129,0.63694,0.62553,0.62037,0.21753,1.94617,1.79142,1.49376,0.001934,0.001934,0.001934
12,83.6802,1.74675,1.58322,1.37047,0.68537,0.64344,0.64842,0.19995,2.08626,1.67105,1.57666,0.0019274,0.0019274,0.0019274
13,90.4071,1.71998,1.5293,1.35618,0.59274,0.54098,0.57231,0.1947,1.93172,1.95041,1.48931,0.0019208,0.0019208,0.0019208
14,97.6587,1.65246,1.45849,1.32496,0.69812,0.60246,0.67275,0.24726,1.94776,1.52332,1.47935,0.0019142,0.0019142,0.0019142
15,105.204,1.67281,1.47301,1.33941,0.73235,0.65574,0.70569,0.28313,1.85647,1.3711,1.39266,0.0019076,0.0019076,0.0019076
16,111.692,1.63377,1.42833,1.33986,0.69794,0.63934,0.69799,0.27992,1.8258,1.61807,1.40773,0.001901,0.001901,0.001901
17,117.701,1.64364,1.43073,1.3264,0.67179,0.64593,0.68426,0.24691,1.89995,1.5732,1.43629,0.0018944,0.0018944,0.0018944
18,124.587,1.61314,1.41803,1.30312,0.6829,0.64891,0.67367,0.20958,2.05551,1.74907,1.54478,0.0018878,0.0018878,0.0018878
19,131.059,1.57761,1.38797,1.29366,0.69225,0.62022,0.67467,0.20372,2.20953,1.54566,1.65314,0.0018812,0.0018812,0.0018812
20,137.697,1.60433,1.36068,1.29513,0.67956,0.62705,0.64133,0.23247,1.88255,1.97716,1.47601,0.0018746,0.0018746,0.0018746
21,144.526,1.58231,1.37851,1.2808,0.72379,0.64891,0.6939,0.24408,1.90499,2.02262,1.45645,0.001868,0.001868,0.001868
22,152.67,1.57871,1.34078,1.2925,0.72238,0.68989,0.71585,0.24058,1.89707,1.83003,1.41659,0.0018614,0.0018614,0.0018614
23,158.915,1.58553,1.34868,1.27388,0.68776,0.67077,0.68967,0.20838,2.06795,1.72404,1.54775,0.0018548,0.0018548,0.0018548
24,165.778,1.56437,1.30793,1.28118,0.71081,0.67827,0.72985,0.26367,1.90583,1.42668,1.43939,0.0018482,0.0018482,0.0018482
25,172.923,1.57236,1.33899,1.28201,0.73171,0.67809,0.72516,0.28645,1.89305,1.38843,1.37576,0.0018416,0.0018416,0.0018416
26,179.274,1.51933,1.29893,1.26576,0.75772,0.70902,0.7456,0.27416,1.93322,1.39542,1.44934,0.001835,0.001835,0.001835
27,184.903,1.5456,1.28091,1.2469,0.72597,0.69809,0.71245,0.22368,2.05474,1.67378,1.54202,0.0018284,0.0018284,0.0018284
28,191.096,1.57632,1.31724,1.26834,0.6776,0.72131,0.68661,0.26416,1.83182,2.50964,1.3793,0.0018218,0.0018218,0.0018218
29,198.238,1.53987,1.2771,1.25104,0.73472,0.7151,0.75873,0.26062,1.99511,1.47712,1.50384,0.0018152,0.0018152,0.0018152
30,205.319,1.53388,1.28044,1.2582,0.73344,0.73297,0.76008,0.24896,1.96069,1.72239,1.4668,0.0018086,0.0018086,0.0018086
31,212.036,1.50925,1.25129,1.24501,0.75756,0.74863,0.77724,0.30172,1.88542,1.38992,1.36443,0.001802,0.001802,0.001802
32,219.149,1.53467,1.25838,1.23302,0.70546,0.71585,0.74103,0.25085,2.0596,1.35349,1.5024,0.0017954,0.0017954,0.0017954
33,225,1.5556,1.27873,1.24218,0.58149,0.65301,0.63371,0.15304,2.35269,1.71543,1.73661,0.0017888,0.0017888,0.0017888
34,231.677,1.51704,1.24054,1.22648,0.70973,0.70145,0.72202,0.22191,2.13338,1.54273,1.52011,0.0017822,0.0017822,0.0017822
35,238.335,1.49425,1.2295,1.21279,0.76779,0.72951,0.78529,0.28943,1.9617,1.41891,1.4322,0.0017756,0.0017756,0.0017756
36,244.84,1.52352,1.23428,1.22625,0.73576,0.73034,0.76248,0.2491,2.07247,1.41912,1.50427,0.001769,0.001769,0.001769
37,250.996,1.49651,1.22042,1.25586,0.70885,0.73361,0.74404,0.29925,1.85541,1.82494,1.39162,0.0017624,0.0017624,0.0017624
38,257.815,1.50643,1.17877,1.22473,0.71481,0.70355,0.75738,0.268,1.99995,1.35876,1.46034,0.0017558,0.0017558,0.0017558
39,265.969,1.50225,1.22549,1.24844,0.6985,0.66781,0.72784,0.23376,2.12785,1.37343,1.54251,0.0017492,0.0017492,0.0017492
40,272.585,1.49183,1.21189,1.23638,0.72099,0.75898,0.77753,0.23461,2.19084,1.44468,1.57822,0.0017426,0.0017426,0.0017426
41,278.919,1.50085,1.20404,1.23574,0.75348,0.75683,0.78907,0.26724,2.0195,1.44198,1.48175,0.001736,0.001736,0.001736
42,284.919,1.51528,1.21897,1.24518,0.73573,0.75546,0.79516,0.2896,1.89372,1.41406,1.41185,0.0017294,0.0017294,0.0017294
43,292.48,1.49246,1.1999,1.21909,0.74871,0.71858,0.78759,0.28105,1.99299,1.439,1.44897,0.0017228,0.0017228,0.0017228
44,299.599,1.49917,1.18632,1.21477,0.70452,0.75683,0.7621,0.26835,1.98108,1.44226,1.46908,0.0017162,0.0017162,0.0017162
45,305.821,1.47596,1.14242,1.20238,0.7584,0.72473,0.76206,0.22062,2.18533,1.38961,1.54792,0.0017096,0.0017096,0.0017096
46,312.329,1.52266,1.17244,1.20051,0.72961,0.73087,0.76616,0.25311,2.00693,1.45477,1.47377,0.001703,0.001703,0.001703
47,319.489,1.50015,1.21496,1.21603,0.72956,0.70759,0.75008,0.21243,2.2309,1.46961,1.61197,0.0016964,0.0016964,0.0016964
48,326.885,1.45277,1.17951,1.21633,0.74692,0.76605,0.78022,0.26819,1.99834,1.44366,1.4634,0.0016898,0.0016898,0.0016898
