epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62091,3.34041,3.62797,2.7107,0.00359,0.15301,0.00221,0.00063,3.5507,3.86051,2.51378,0.00064,0.00064,0.00064
2,14.5684,2.89905,3.17547,2.3645,0.00288,0.12295,0.00759,0.00284,3.5801,3.84845,2.70926,0.00129571,0.00129571,0.00129571
3,22.324,2.32221,2.58361,1.95296,0.00423,0.18033,0.00412,0.00136,3.26259,4.17135,3.78625,0.00194706,0.00194706,0.00194706
4,29.3846,2.14325,2.29535,1.81414,0.31467,0.25273,0.16659,0.04302,2.47328,3.41202,2.35796,0.0019802,0.0019802,0.0019802
5,36.3821,1.99895,2.06988,1.67793,0.51019,0.45392,0.41766,0.1209,2.23854,3.08657,1.86282,0.0019736,0.0019736,0.0019736
6,43.1188,1.94375,1.91023,1.5873,0.57488,0.54918,0.52012,0.17278,2.08579,2.47854,1.72459,0.001967,0.001967,0.001967
7,50.5909,1.91507,1.82221,1.55926,0.6035,0.56284,0.54082,0.18281,1.98013,2.74789,1.58894,0.0019604,0.0019604,0.0019604
8,56.8017,1.83925,1.72328,1.50546,0.6302,0.57038,0.5942,0.24251,1.91368,2.04075,1.53952,0.0019538,0.0019538,0.0019538
9,64.2961,1.79291,1.70612,1.46875,0.64507,0.581,0.59648,0.23813,1.9052,1.66758,1.52049,0.0019472,0.0019472,0.0019472
10,70.4957,1.7453,1.59168,1.43124,0.7072,0.60109,0.64814,0.28259,1.78876,1.86853,1.43847,0.0019406,0.0019406,0.0019406
11,76.6824,1.73346,1.55906,1.41804,0.62868,0.65027,0.62891,0.24134,1.92327,1.98138,1.51594,0.001934,0.001934,0.001934
12,83.295,1.72124,1.56824,1.4077,0.55154,0.5765,0.54727,0.15546,2.23231,1.62636,1.68919,0.0019274,0.0019274,0.0019274
13,89.9591,1.71058,1.52664,1.40262,0.5941,0.5765,0.58833,0.2082,2.03979,1.62812,1.57028,0.0019208,0.0019208,0.0019208
14,96.7502,1.65354,1.4368,1.36037,0.66249,0.5888,0.63492,0.22032,2.05636,1.5858,1.54047,0.0019142,0.0019142,0.0019142
15,103.805,1.64846,1.43076,1.35444,0.69501,0.64617,0.67597,0.26082,1.90183,1.49225,1.44395,0.0019076,0.0019076,0.0019076
16,110.254,1.63031,1.39574,1.36895,0.67153,0.65574,0.67018,0.28449,1.83849,1.4855,1.41469,0.001901,0.001901,0.001901
17,116.294,1.64505,1.41723,1.36942,0.66882,0.6653,0.69564,0.28023,1.90238,1.52786,1.46608,0.0018944,0.0018944,0.0018944
18,123.298,1.59847,1.393,1.32748,0.68041,0.63988,0.63748,0.17902,2.21992,1.56648,1.61483,0.0018878,0.0018878,0.0018878
19,129.424,1.58237,1.35295,1.32557,0.67843,0.64208,0.66187,0.18796,2.17335,1.93963,1.68253,0.0018812,0.0018812,0.0018812
20,136.145,1.59811,1.33664,1.32632,0.67144,0.6653,0.69089,0.24271,2.02499,1.51832,1.55844,0.0018746,0.0018746,0.0018746
21,142.73,1.57318,1.31332,1.30508,0.66761,0.69695,0.72748,0.27633,1.91861,1.67583,1.48866,0.001868,0.001868,0.001868
22,150.709,1.58008,1.3206,1.31527,0.7073,0.68579,0.71847,0.25222,1.92309,2.01357,1.45116,0.0018614,0.0018614,0.0018614
23,156.778,1.57553,1.30391,1.30165,0.66481,0.6694,0.66717,0.19372,2.20624,1.44913,1.65949,0.0018548,0.0018548,0.0018548
24,163.293,1.55863,1.27642,1.30998,0.6609,0.70082,0.7194,0.2891,1.91198,1.36719,1.43953,0.0018482,0.0018482,0.0018482
25,170.64,1.57979,1.3234,1.31008,0.69958,0.74727,0.75192,0.30915,1.77797,1.38513,1.3723,0.0018416,0.0018416,0.0018416
26,176.863,1.53049,1.28334,1.29555,0.7469,0.73361,0.7491,0.28786,1.92813,1.56588,1.46606,0.001835,0.001835,0.001835
27,182.429,1.52592,1.24038,1.26668,0.71573,0.72404,0.71888,0.2348,2.11278,1.61659,1.56518,0.0018284,0.0018284,0.0018284
28,188.799,1.57814,1.29542,1.30665,0.74079,0.72227,0.73543,0.29913,1.84735,1.53356,1.42548,0.0018218,0.0018218,0.0018218
