epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.54258,3.37283,3.69058,2.70169,0.0033,0.14071,0.00246,0.00065,3.49186,3.88986,2.41444,0.00064,0.00064,0.00064
2,15.0572,2.897,3.18029,2.33531,0.00497,0.21175,0.00901,0.00385,3.40552,3.83841,2.37179,0.00129571,0.00129571,0.00129571
3,23.1828,2.36473,2.55762,1.94348,0.00862,0.36749,0.00732,0.00218,3.00335,4.63598,2.98219,0.00194706,0.00194706,0.00194706
4,30.5179,2.15746,2.32113,1.77386,0.35521,0.19945,0.15428,0.04384,2.34354,3.24719,2.0523,0.0019802,0.0019802,0.0019802
5,37.5927,2.04327,2.12046,1.65883,0.30309,0.28875,0.19957,0.04843,2.40396,3.12826,1.9891,0.0019736,0.0019736,0.0019736
6,44.2966,1.98501,1.95833,1.59031,0.49647,0.53279,0.46286,0.14551,2.1821,2.67196,1.79563,0.001967,0.001967,0.001967
7,51.9075,1.93877,1.88918,1.53724,0.5244,0.5847,0.51735,0.15741,2.18609,2.1692,1.67451,0.0019604,0.0019604,0.0019604
8,57.9376,1.87016,1.78084,1.5099,0.56197,0.55191,0.54098,0.2071,1.90235,2.27384,1.54083,0.0019538,0.0019538,0.0019538
9,65.8676,1.81505,1.77267,1.47133,0.68171,0.59563,0.60848,0.25484,1.85434,1.89301,1.5062,0.0019472,0.0019472,0.0019472
10,72.2036,1.78052,1.69442,1.4396,0.66893,0.55601,0.58623,0.22869,1.9384,1.70323,1.48267,0.0019406,0.0019406,0.0019406
11,78.4274,1.77328,1.58033,1.42854,0.67599,0.60383,0.63272,0.22935,1.98841,1.62537,1.53181,0.001934,0.001934,0.001934
12,85.2872,1.77355,1.62623,1.42274,0.63955,0.56694,0.59542,0.18041,2.03579,2.11039,1.5898,0.0019274,0.0019274,0.0019274
13,92.1023,1.72372,1.57924,1.4052,0.59668,0.54372,0.56951,0.18575,2.00291,1.81669,1.56286,0.0019208,0.0019208,0.0019208
14,99.1807,1.66162,1.5,1.35402,0.69107,0.60508,0.64492,0.22359,1.9796,1.60567,1.51013,0.0019142,0.0019142,0.0019142
15,106.092,1.6788,1.48548,1.37427,0.69742,0.65984,0.67722,0.25055,1.93026,1.93015,1.49215,0.0019076,0.0019076,0.0019076
16,112.271,1.61993,1.4232,1.36116,0.66346,0.59563,0.61889,0.21456,2.01341,1.62935,1.5254,0.001901,0.001901,0.001901
17,119.01,1.67512,1.45566,1.37518,0.67498,0.66953,0.68287,0.25691,1.95637,1.49044,1.49243,0.0018944,0.0018944,0.0018944
18,125.427,1.62877,1.42787,1.325,0.66589,0.599,0.64167,0.18373,2.16094,1.85364,1.60723,0.0018878,0.0018878,0.0018878
19,132.358,1.59637,1.41293,1.32285,0.70848,0.58333,0.65619,0.18331,2.16291,2.16064,1.65481,0.0018812,0.0018812,0.0018812
