epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.78971,3.48624,3.78229,4.15986,0.00048,0.01776,0.00025,0.0001,3.70447,4.13701,4.15438,0.00064,0.00064,0.00064
2,14.4724,3.3177,2.9997,3.44077,0.00295,0.12568,0.00166,0.00054,3.54446,3.77357,3.89293,0.00129571,0.00129571,0.00129571
3,21.9238,2.6961,2.59845,2.86921,0.03507,0.03279,0.00701,0.00191,3.27458,5.37681,3.54273,0.00194706,0.00194706,0.00194706
4,28.7712,2.32286,2.26593,2.46422,0.14302,0.15027,0.03457,0.00968,3.17271,4.51356,4.42154,0.0019802,0.0019802,0.0019802
5,35.6249,2.15987,2.05155,2.24252,0.39673,0.28552,0.22821,0.06425,2.52773,3.61678,3.3481,0.0019736,0.0019736,0.0019736
6,42.2226,2.09062,1.9265,2.10357,0.4351,0.46175,0.36623,0.10908,2.3676,3.17093,2.31345,0.001967,0.001967,0.001967
7,49.9247,2.07688,1.84872,2.01529,0.53488,0.46815,0.44309,0.1513,2.20824,2.64636,2.04847,0.0019604,0.0019604,0.0019604
8,55.8842,1.9784,1.70984,1.91585,0.57472,0.48361,0.46413,0.17701,2.08066,2.80105,1.94458,0.0019538,0.0019538,0.0019538
9,63.287,1.94465,1.72868,1.83768,0.61167,0.53581,0.55662,0.1921,2.15982,1.64156,1.93799,0.0019472,0.0019472,0.0019472
10,69.5897,1.89289,1.63714,1.77528,0.67299,0.58197,0.60462,0.22682,2.012,1.84091,1.81502,0.0019406,0.0019406,0.0019406
11,75.6613,1.86385,1.52429,1.71171,0.61234,0.60792,0.5912,0.18821,2.24265,1.9262,1.99022,0.001934,0.001934,0.001934
12,82.2372,1.89543,1.58818,1.75027,0.57068,0.52732,0.53237,0.16313,2.31764,1.58871,2.05294,0.0019274,0.0019274,0.0019274
13,88.8437,1.8568,1.57881,1.71382,0.64135,0.54967,0.61274,0.22512,2.01409,1.60457,1.7954,0.0019208,0.0019208,0.0019208
14,95.8323,1.78507,1.50867,1.64964,0.63675,0.53005,0.58981,0.20121,2.11011,2.75689,1.9029,0.0019142,0.0019142,0.0019142
15,102.886,1.7607,1.46369,1.63575,0.65135,0.64344,0.65435,0.23068,2.03943,1.6328,1.80053,0.0019076,0.0019076,0.0019076
16,109.086,1.70149,1.40178,1.61246,0.61531,0.6315,0.60654,0.19213,2.09872,1.80794,1.87446,0.001901,0.001901,0.001901
17,115.317,1.74244,1.47602,1.62947,0.70858,0.64773,0.68027,0.22938,2.00049,1.68894,1.79224,0.0018944,0.0018944,0.0018944
18,121.77,1.69542,1.39783,1.57421,0.66023,0.61885,0.60586,0.17618,2.09514,2.07434,1.81363,0.0018878,0.0018878,0.0018878
19,128.596,1.67553,1.39218,1.58495,0.59023,0.55884,0.59184,0.16202,2.17652,2.27756,1.97311,0.0018812,0.0018812,0.0018812
20,135.046,1.66539,1.38188,1.55629,0.63249,0.616,0.64277,0.21623,2.13266,1.58777,1.885,0.0018746,0.0018746,0.0018746
21,141.75,1.65885,1.3686,1.55129,0.68364,0.64891,0.67603,0.23549,2.07729,1.58911,1.83079,0.001868,0.001868,0.001868
22,150.068,1.64886,1.36187,1.56126,0.67657,0.663,0.69787,0.26046,1.86944,2.35875,1.68153,0.0018614,0.0018614,0.0018614
23,156.293,1.64956,1.34107,1.50686,0.64019,0.63251,0.63121,0.17806,2.25747,1.67798,1.95044,0.0018548,0.0018548,0.0018548
24,163.204,1.61695,1.31056,1.5241,0.72084,0.66803,0.71876,0.27583,1.92948,1.55907,1.70272,0.0018482,0.0018482,0.0018482
25,170.451,1.649,1.3344,1.53187,0.72178,0.72268,0.75857,0.29898,1.81058,1.34574,1.66383,0.0018416,0.0018416,0.0018416
26,176.641,1.59701,1.31471,1.52051,0.70836,0.70492,0.728,0.25509,2.01486,1.74652,1.71737,0.001835,0.001835,0.001835
27,182.094,1.59469,1.28358,1.48327,0.68752,0.70082,0.70465,0.21485,2.09922,2.098,1.84614,0.0018284,0.0018284,0.0018284
28,188.468,1.65541,1.32302,1.53188,0.72458,0.68033,0.71659,0.26666,1.90466,1.70591,1.76333,0.0018218,0.0018218,0.0018218
29,195.331,1.58074,1.27879,1.48022,0.70386,0.68835,0.71616,0.22408,2.23488,1.38515,1.90607,0.0018152,0.0018152,0.0018152
30,202.298,1.57352,1.27733,1.47864,0.67246,0.67213,0.68043,0.19767,2.16196,1.76898,1.9185,0.0018086,0.0018086,0.0018086
31,209.017,1.53138,1.25954,1.46494,0.7042,0.75,0.73958,0.25506,1.95128,1.45627,1.70234,0.001802,0.001802,0.001802
32,215.898,1.57288,1.23266,1.44916,0.73458,0.72592,0.75061,0.23742,2.23108,1.35349,1.91106,0.0017954,0.0017954,0.0017954
33,221.785,1.59893,1.27561,1.4497,0.58094,0.65027,0.58318,0.13462,2.39504,1.65794,2.1545,0.0017888,0.0017888,0.0017888
34,228.404,1.55725,1.25115,1.43699,0.63358,0.68739,0.65241,0.16047,2.34248,1.92672,2.10104,0.0017822,0.0017822,0.0017822
35,235.079,1.54165,1.24755,1.44142,0.70447,0.72131,0.7388,0.24823,2.04432,1.49605,1.75178,0.0017756,0.0017756,0.0017756
36,241.669,1.5524,1.21455,1.42451,0.71867,0.7154,0.7417,0.24024,2.03033,1.55813,1.7775,0.001769,0.001769,0.001769
37,248.062,1.53101,1.21603,1.4727,0.748,0.73394,0.77896,0.27451,1.96865,1.53509,1.69564,0.0017624,0.0017624,0.0017624
38,254.44,1.53722,1.18942,1.44238,0.72148,0.73254,0.75254,0.24189,2.10685,1.34017,1.78459,0.0017558,0.0017558,0.0017558
39,261.612,1.54258,1.23053,1.46022,0.66785,0.6571,0.65525,0.18858,2.10158,1.61161,1.83446,0.0017492,0.0017492,0.0017492
40,268.599,1.53213,1.21061,1.44858,0.7399,0.72282,0.76501,0.25819,2.03065,1.69068,1.7251,0.0017426,0.0017426,0.0017426
41,274.775,1.547,1.20662,1.44601,0.75396,0.74863,0.7854,0.27739,1.93953,1.67004,1.71465,0.001736,0.001736,0.001736
42,281.237,1.55683,1.23188,1.45138,0.76066,0.7459,0.80457,0.30649,1.96505,1.31162,1.70485,0.0017294,0.0017294,0.0017294
43,287.759,1.50747,1.20174,1.42642,0.72268,0.72981,0.77561,0.28307,1.95935,1.49538,1.71436,0.0017228,0.0017228,0.0017228
44,294.819,1.53731,1.21326,1.43,0.72158,0.72937,0.76397,0.26096,2.01451,1.47776,1.78186,0.0017162,0.0017162,0.0017162
45,301.3,1.50439,1.17454,1.40131,0.78586,0.69672,0.75974,0.22447,2.214,1.4593,1.87686,0.0017096,0.0017096,0.0017096
46,308.104,1.5697,1.17588,1.41006,0.75262,0.72268,0.76376,0.23604,2.20107,1.37424,1.93386,0.001703,0.001703,0.001703
47,314.987,1.54214,1.219,1.41806,0.75525,0.69126,0.73755,0.21604,2.19563,1.31572,1.77325,0.0016964,0.0016964,0.0016964
48,322.344,1.49374,1.18444,1.42923,0.76473,0.72826,0.77125,0.25767,2.01385,1.60181,1.76669,0.0016898,0.0016898,0.0016898
49,328.565,1.47796,1.16452,1.38947,0.74249,0.7541,0.7735,0.25732,2.03984,1.53733,1.72278,0.0016832,0.0016832,0.0016832
50,335.6,1.50676,1.11619,1.42011,0.75431,0.7582,0.78183,0.26457,2.01074,1.57029,1.77077,0.0016766,0.0016766,0.0016766
51,341.928,1.51871,1.15703,1.40123,0.71959,0.75024,0.77954,0.30336,1.89211,1.43289,1.65165,0.00167,0.00167,0.00167
52,348.138,1.51091,1.15894,1.40938,0.76778,0.71311,0.7564,0.2327,2.18545,1.443,1.85948,0.0016634,0.0016634,0.0016634
53,354.782,1.5202,1.16791,1.39401,0.70152,0.68443,0.72359,0.2211,2.20312,1.46756,1.8506,0.0016568,0.0016568,0.0016568
54,361.452,1.49106,1.12837,1.40706,0.79439,0.74422,0.81753,0.32048,1.87503,1.39609,1.63528,0.0016502,0.0016502,0.0016502
55,368.362,1.49694,1.14841,1.39615,0.76616,0.77433,0.80726,0.31622,1.87907,1.30687,1.62898,0.0016436,0.0016436,0.0016436
56,375.459,1.48661,1.13736,1.40207,0.74362,0.76093,0.78619,0.27134,2.02889,1.31183,1.70889,0.001637,0.001637,0.001637
57,382.453,1.5122,1.1717,1.40393,0.73692,0.73472,0.78318,0.28525,1.90476,1.39168,1.67674,0.0016304,0.0016304,0.0016304
58,388.784,1.46671,1.15205,1.37997,0.72876,0.76913,0.794,0.26794,2.03194,1.44684,1.76916,0.0016238,0.0016238,0.0016238
59,395.294,1.48676,1.12725,1.38808,0.69406,0.73907,0.75043,0.20356,2.25443,1.51651,1.9598,0.0016172,0.0016172,0.0016172
60,401.636,1.47001,1.13103,1.37179,0.75497,0.71136,0.7509,0.20472,2.27892,1.4336,1.90719,0.0016106,0.0016106,0.0016106
61,407.925,1.44998,1.10987,1.365,0.7873,0.77367,0.83312,0.30521,1.95578,1.23432,1.661,0.001604,0.001604,0.001604
62,415.059,1.47741,1.1488,1.38681,0.77911,0.77576,0.80632,0.27631,2.02447,1.39664,1.67857,0.0015974,0.0015974,0.0015974
63,422.428,1.46846,1.12818,1.378,0.76021,0.75361,0.78868,0.24738,2.09392,1.78321,1.81177,0.0015908,0.0015908,0.0015908
64,428.953,1.45562,1.12249,1.3618,0.74364,0.76503,0.78169,0.23648,2.23384,1.41306,1.89737,0.0015842,0.0015842,0.0015842
65,435.218,1.46721,1.12318,1.38169,0.74971,0.78159,0.81563,0.28159,1.99507,1.58316,1.717,0.0015776,0.0015776,0.0015776
66,441.864,1.45974,1.13738,1.37025,0.77764,0.80738,0.8261,0.32228,1.79607,1.57713,1.582,0.001571,0.001571,0.001571
67,447.895,1.46418,1.10923,1.38542,0.81496,0.75808,0.84115,0.34602,1.90565,1.17583,1.59797,0.0015644,0.0015644,0.0015644
68,454.41,1.46649,1.09432,1.39788,0.76973,0.77459,0.8205,0.35112,1.80001,1.22236,1.533,0.0015578,0.0015578,0.0015578
69,461.156,1.48615,1.1064,1.36478,0.7601,0.77322,0.81507,0.30359,1.98258,1.25136,1.74044,0.0015512,0.0015512,0.0015512
70,467.609,1.44563,1.10994,1.34583,0.78359,0.80134,0.84124,0.39607,1.76649,1.17467,1.50146,0.0015446,0.0015446,0.0015446
71,474.958,1.44114,1.08629,1.36311,0.77539,0.78415,0.83604,0.35295,1.87159,1.05037,1.57483,0.001538,0.001538,0.001538
72,481.925,1.44644,1.06454,1.34519,0.77179,0.80852,0.84595,0.36603,1.85155,1.2447,1.57273,0.0015314,0.0015314,0.0015314
73,488.037,1.43144,1.04885,1.34672,0.76651,0.79645,0.8324,0.33609,1.9734,1.18746,1.67786,0.0015248,0.0015248,0.0015248
74,495.536,1.40201,1.04132,1.33082,0.76129,0.8306,0.84153,0.29577,2.1893,1.24499,1.8603,0.0015182,0.0015182,0.0015182
75,502.527,1.40674,1.05765,1.33661,0.7804,0.81831,0.84393,0.32431,1.97018,1.10303,1.65025,0.0015116,0.0015116,0.0015116
76,508.906,1.40107,1.00031,1.30636,0.75901,0.83901,0.85644,0.38912,1.73999,1.05358,1.48675,0.001505,0.001505,0.001505
77,515.543,1.45461,1.05207,1.35284,0.75038,0.80191,0.82063,0.30582,2.05457,1.45722,1.72871,0.0014984,0.0014984,0.0014984
78,522.908,1.40578,1.03306,1.33663,0.78057,0.80191,0.8534,0.40292,1.64893,1.06855,1.45652,0.0014918,0.0014918,0.0014918
79,528.667,1.40689,1.03059,1.32916,0.76996,0.81011,0.83422,0.31481,2.01602,1.29744,1.76545,0.0014852,0.0014852,0.0014852
80,535.155,1.40175,1.02394,1.33732,0.78254,0.81967,0.84103,0.33309,2.00205,1.06907,1.64241,0.0014786,0.0014786,0.0014786
81,542.015,1.40909,1.0511,1.33593,0.79541,0.81284,0.86173,0.35856,1.85286,1.21711,1.62725,0.001472,0.001472,0.001472
82,548.144,1.38246,0.99692,1.30371,0.79255,0.7881,0.85504,0.38354,1.83381,1.02238,1.56746,0.0014654,0.0014654,0.0014654
83,555.014,1.37587,0.99995,1.33003,0.79824,0.78369,0.84562,0.3466,1.9495,1.00499,1.62918,0.0014588,0.0014588,0.0014588
84,561.863,1.38327,0.98853,1.31773,0.75845,0.81503,0.84978,0.43143,1.57805,1.16863,1.42347,0.0014522,0.0014522,0.0014522
85,568.351,1.43731,1.03762,1.3489,0.76751,0.80874,0.85463,0.42769,1.65935,1.09915,1.44755,0.0014456,0.0014456,0.0014456
86,575.785,1.39088,1.01032,1.29898,0.78883,0.80055,0.85408,0.37331,1.82358,1.06828,1.5531,0.001439,0.001439,0.001439
87,581.826,1.36372,0.98,1.29249,0.76614,0.83743,0.86672,0.41469,1.67831,1.06835,1.49038,0.0014324,0.0014324,0.0014324
88,588.95,1.39264,0.99783,1.32117,0.7856,0.81011,0.86021,0.387,1.81821,0.959,1.55484,0.0014258,0.0014258,0.0014258
89,595.477,1.3969,0.98717,1.31911,0.74882,0.8388,0.85417,0.4549,1.51097,1.02819,1.37292,0.0014192,0.0014192,0.0014192
90,602.254,1.37546,0.97629,1.30474,0.76932,0.83607,0.86093,0.44727,1.58591,1.07978,1.40102,0.0014126,0.0014126,0.0014126
91,609.381,1.35913,0.9608,1.30141,0.76289,0.80875,0.83581,0.36017,1.8952,1.3182,1.64987,0.001406,0.001406,0.001406
92,615.794,1.36152,0.9592,1.31791,0.80237,0.81011,0.86393,0.49043,1.44154,0.95897,1.30021,0.0013994,0.0013994,0.0013994
93,621.462,1.36848,0.96906,1.31427,0.78123,0.83421,0.86096,0.37942,1.8534,1.04713,1.5627,0.0013928,0.0013928,0.0013928
94,629.217,1.37796,0.97142,1.30329,0.78231,0.81495,0.84686,0.32461,2.05022,1.12285,1.74055,0.0013862,0.0013862,0.0013862
95,636.281,1.37543,0.96466,1.30231,0.7481,0.81694,0.83193,0.34502,1.87657,1.10849,1.54191,0.0013796,0.0013796,0.0013796
96,642.195,1.35713,0.96586,1.32465,0.7815,0.84042,0.87316,0.42971,1.71733,0.94089,1.46717,0.001373,0.001373,0.001373
97,648.989,1.35964,0.95945,1.28441,0.78688,0.77869,0.83458,0.40928,1.65259,1.23444,1.4861,0.0013664,0.0013664,0.0013664
98,655.517,1.38609,0.97033,1.34144,0.77711,0.82787,0.86569,0.40632,1.78445,0.91659,1.51667,0.0013598,0.0013598,0.0013598
99,662.433,1.35034,0.96628,1.30913,0.80023,0.83725,0.87588,0.469,1.55974,0.89473,1.39921,0.0013532,0.0013532,0.0013532
100,670.214,1.38907,0.97162,1.33839,0.75413,0.82545,0.86544,0.49519,1.44581,0.9565,1.32492,0.0013466,0.0013466,0.0013466
101,677.235,1.38276,0.95533,1.3295,0.78706,0.84325,0.86648,0.46771,1.50808,0.9551,1.38184,0.00134,0.00134,0.00134
102,685.122,1.35912,0.9539,1.29001,0.79505,0.8429,0.87341,0.41759,1.72766,0.8817,1.46244,0.0013334,0.0013334,0.0013334
103,690.973,1.33053,0.9304,1.28306,0.82816,0.81967,0.8806,0.44291,1.69164,0.88844,1.47099,0.0013268,0.0013268,0.0013268
104,698.101,1.3369,0.95016,1.29767,0.81208,0.84426,0.88477,0.42435,1.76755,0.84908,1.51059,0.0013202,0.0013202,0.0013202
105,705.428,1.34285,0.93006,1.27396,0.79584,0.82543,0.8724,0.46108,1.58142,0.90676,1.38891,0.0013136,0.0013136,0.0013136
106,711.956,1.34498,0.93165,1.30354,0.80686,0.8218,0.8757,0.50338,1.46062,0.84669,1.3243,0.001307,0.001307,0.001307
107,718.221,1.36024,0.93834,1.31109,0.81975,0.81284,0.86884,0.43713,1.64652,0.94114,1.43542,0.0013004,0.0013004,0.0013004
108,724.16,1.32463,0.91633,1.28787,0.81879,0.8148,0.87635,0.4159,1.72802,0.94574,1.49727,0.0012938,0.0012938,0.0012938
109,729.829,1.31618,0.92327,1.29371,0.75422,0.84262,0.86833,0.47294,1.58144,1.11246,1.42554,0.0012872,0.0012872,0.0012872
110,738.228,1.3461,0.93835,1.30129,0.81381,0.81804,0.86819,0.46941,1.57818,0.8654,1.39111,0.0012806,0.0012806,0.0012806
111,745.762,1.35109,0.94736,1.29219,0.76821,0.84214,0.87073,0.46499,1.59376,0.90569,1.38634,0.001274,0.001274,0.001274
112,752.13,1.39143,0.98947,1.29228,0.80207,0.80328,0.85092,0.42052,1.61914,0.88067,1.39521,0.0012674,0.0012674,0.0012674
