epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43177,3.46432,3.76438,4.21701,0.0005,0.01776,0.00026,0.0001,3.70465,4.13691,4.14983,0.00064,0.00064,0.00064
2,15.3631,3.19437,3.04635,3.5374,0.00242,0.09973,0.00133,0.00047,3.59082,3.81035,3.97478,0.00129571,0.00129571,0.00129571
3,23.011,2.67057,2.65751,2.8432,0.10336,0.10383,0.05317,0.01875,2.64123,3.11525,3.0563,0.00194706,0.00194706,0.00194706
4,30.0624,2.37102,2.36213,2.42351,0.26117,0.16667,0.11932,0.03733,2.84774,3.38658,3.053,0.0019802,0.0019802,0.0019802
5,36.9547,2.20198,2.10804,2.20265,0.17994,0.12295,0.05458,0.01088,3.06873,4.35471,4.88848,0.0019736,0.0019736,0.0019736
6,43.6048,2.11306,2.04345,2.06276,0.42354,0.39891,0.32976,0.12276,2.3248,2.62686,2.29248,0.001967,0.001967,0.001967
7,51.4398,2.04624,1.878,1.93209,0.55994,0.445,0.44961,0.16236,2.06471,4.45621,1.90471,0.0019604,0.0019604,0.0019604
8,57.4346,1.98261,1.78503,1.87319,0.58404,0.52049,0.52743,0.16507,2.02835,4.31223,1.90501,0.0019538,0.0019538,0.0019538
9,64.8866,1.93375,1.75581,1.79426,0.65901,0.55738,0.56622,0.22606,1.98943,1.80692,1.75442,0.0019472,0.0019472,0.0019472
10,71.266,1.90229,1.65892,1.74294,0.65667,0.58006,0.57708,0.18999,2.19473,1.91406,1.92068,0.0019406,0.0019406,0.0019406
11,77.4797,1.87794,1.59567,1.7,0.656,0.59153,0.60638,0.22504,2.06195,2.11554,1.79732,0.001934,0.001934,0.001934
12,84.2089,1.89776,1.68339,1.71887,0.53677,0.53279,0.50178,0.1465,2.26759,1.98128,1.99255,0.0019274,0.0019274,0.0019274
13,90.9252,1.88064,1.63006,1.69271,0.59509,0.53552,0.5359,0.17194,2.09315,1.7157,1.82712,0.0019208,0.0019208,0.0019208
14,97.8601,1.7997,1.56911,1.62616,0.63529,0.5847,0.59832,0.20355,2.09295,1.84997,1.78871,0.0019142,0.0019142,0.0019142
15,104.665,1.77767,1.5082,1.61124,0.6947,0.65164,0.68804,0.298,1.74792,1.86364,1.6019,0.0019076,0.0019076,0.0019076
16,110.671,1.71535,1.45657,1.58871,0.645,0.62705,0.6224,0.20569,2.06891,1.6679,1.76026,0.001901,0.001901,0.001901
17,117.042,1.75589,1.50078,1.59241,0.683,0.64344,0.66686,0.22445,2.0384,1.68625,1.7591,0.0018944,0.0018944,0.0018944
18,123.55,1.72227,1.44646,1.5462,0.62736,0.60109,0.59358,0.16248,2.18798,1.72715,1.80575,0.0018878,0.0018878,0.0018878
19,130.387,1.66648,1.43524,1.53827,0.67392,0.60383,0.65794,0.20613,2.07806,2.01714,1.84917,0.0018812,0.0018812,0.0018812
20,136.762,1.69019,1.403,1.52863,0.6402,0.64754,0.64325,0.24417,1.81268,2.36391,1.68954,0.0018746,0.0018746,0.0018746
21,143.72,1.68637,1.411,1.52242,0.7175,0.62295,0.6984,0.28885,1.87524,1.43199,1.61895,0.001868,0.001868,0.001868
22,151.011,1.67947,1.41852,1.53702,0.72238,0.65984,0.70995,0.25451,1.90227,1.65079,1.67722,0.0018614,0.0018614,0.0018614
23,157.213,1.66401,1.3802,1.47674,0.66149,0.64891,0.67138,0.2149,2.11301,1.74989,1.79789,0.0018548,0.0018548,0.0018548
24,164.058,1.62856,1.34476,1.48705,0.64091,0.70466,0.70564,0.28063,1.82291,1.47584,1.60854,0.0018482,0.0018482,0.0018482
25,171.252,1.66859,1.35277,1.51013,0.72141,0.71175,0.75327,0.30322,1.80206,1.38636,1.59357,0.0018416,0.0018416,0.0018416
26,177.377,1.57487,1.3296,1.46786,0.72386,0.70548,0.7477,0.31522,1.79022,1.53683,1.5801,0.001835,0.001835,0.001835
27,182.923,1.60135,1.29133,1.43992,0.73423,0.65164,0.71702,0.2351,2.06516,1.58369,1.73854,0.0018284,0.0018284,0.0018284
28,189.693,1.64925,1.3272,1.48207,0.71679,0.71585,0.74931,0.32487,1.74336,1.60283,1.53018,0.0018218,0.0018218,0.0018218
29,196.84,1.60969,1.30646,1.44788,0.71599,0.68537,0.71978,0.25024,1.99772,1.47978,1.729,0.0018152,0.0018152,0.0018152
30,203.973,1.58498,1.2926,1.44217,0.67799,0.68443,0.69235,0.20248,2.0121,1.9284,1.76386,0.0018086,0.0018086,0.0018086
31,210.79,1.53965,1.29364,1.42283,0.7635,0.71038,0.77483,0.31502,1.83807,1.52727,1.55139,0.001802,0.001802,0.001802
32,217.005,1.57919,1.26648,1.41297,0.73379,0.6735,0.74202,0.24092,2.14109,1.47608,1.77452,0.0017954,0.0017954,0.0017954
33,223.143,1.6081,1.3123,1.41908,0.62707,0.62295,0.61576,0.14003,2.54276,1.517,2.12429,0.0017888,0.0017888,0.0017888
34,229.903,1.55922,1.26034,1.4006,0.67579,0.70334,0.70515,0.19519,2.3036,1.58311,1.89726,0.0017822,0.0017822,0.0017822
35,236.718,1.55261,1.24564,1.40722,0.65999,0.68306,0.6706,0.2218,2.0917,1.47931,1.69629,0.0017756,0.0017756,0.0017756
36,243.128,1.56027,1.23853,1.39152,0.75739,0.67896,0.75357,0.23938,2.11629,1.40278,1.75583,0.001769,0.001769,0.001769
37,249.951,1.54059,1.25868,1.43147,0.71165,0.68852,0.75687,0.27677,1.98726,1.49643,1.62604,0.0017624,0.0017624,0.0017624
38,255.993,1.54859,1.20349,1.40669,0.69684,0.69084,0.71011,0.20824,2.19694,1.3633,1.78155,0.0017558,0.0017558,0.0017558
39,263.656,1.55567,1.25889,1.42687,0.68533,0.62432,0.6587,0.18163,2.18145,1.79416,1.84388,0.0017492,0.0017492,0.0017492
40,270.291,1.54179,1.25922,1.4122,0.70751,0.69399,0.7233,0.21543,2.24922,1.37825,1.78338,0.0017426,0.0017426,0.0017426
41,276.555,1.53836,1.2211,1.40403,0.73509,0.72404,0.75142,0.25573,2.04503,1.62296,1.70076,0.001736,0.001736,0.001736
42,283.033,1.54067,1.26608,1.40399,0.76323,0.7541,0.77814,0.28575,1.9605,1.33872,1.62833,0.0017294,0.0017294,0.0017294
43,289.666,1.52776,1.22984,1.40232,0.71714,0.70219,0.73794,0.26855,2.00442,1.5036,1.66479,0.0017228,0.0017228,0.0017228
44,296.995,1.54132,1.22769,1.37966,0.76079,0.71858,0.78001,0.28228,1.9857,1.48217,1.66286,0.0017162,0.0017162,0.0017162
45,302.953,1.51637,1.16823,1.36594,0.73413,0.69672,0.73684,0.21568,2.17204,1.63153,1.76036,0.0017096,0.0017096,0.0017096
46,309.302,1.55988,1.19762,1.35922,0.72364,0.69399,0.7442,0.24347,2.13985,1.3649,1.78595,0.001703,0.001703,0.001703
47,316.317,1.55242,1.23822,1.3845,0.63843,0.61993,0.63282,0.16127,2.48307,1.43498,1.9362,0.0016964,0.0016964,0.0016964
48,323.755,1.48519,1.21141,1.38499,0.7685,0.70902,0.77682,0.24956,2.12459,1.40447,1.78142,0.0016898,0.0016898,0.0016898
49,330.46,1.50293,1.18141,1.37208,0.73208,0.71585,0.74022,0.23787,2.06226,1.53056,1.68669,0.0016832,0.0016832,0.0016832
50,336.873,1.50338,1.14447,1.37308,0.71325,0.75683,0.75817,0.25806,2.00642,1.49793,1.64402,0.0016766,0.0016766,0.0016766
51,343.325,1.5221,1.18531,1.35712,0.72487,0.72814,0.78569,0.27017,2.10454,1.30654,1.69081,0.00167,0.00167,0.00167
52,350.039,1.49105,1.15553,1.35893,0.71291,0.72597,0.75402,0.22332,2.10478,1.59883,1.74173,0.0016634,0.0016634,0.0016634
53,356.722,1.53189,1.1782,1.36307,0.71475,0.74623,0.76472,0.23661,2.16905,1.39902,1.75373,0.0016568,0.0016568,0.0016568
54,363.211,1.49877,1.17488,1.36911,0.74449,0.75956,0.7921,0.29225,1.96798,1.34925,1.62083,0.0016502,0.0016502,0.0016502
55,369.97,1.47504,1.16588,1.35256,0.73886,0.7541,0.79413,0.28807,1.93484,1.4466,1.64793,0.0016436,0.0016436,0.0016436
56,377.117,1.48609,1.15677,1.36371,0.73762,0.72678,0.75392,0.23096,2.13445,1.43801,1.74353,0.001637,0.001637,0.001637
57,384.148,1.50502,1.18464,1.36705,0.72334,0.78689,0.78951,0.29799,1.90827,1.46571,1.60186,0.0016304,0.0016304,0.0016304
58,390.144,1.4747,1.14848,1.34187,0.73967,0.78407,0.82666,0.30565,1.91618,1.46268,1.61938,0.0016238,0.0016238,0.0016238
59,396.526,1.49706,1.12881,1.34659,0.73917,0.76269,0.78269,0.24704,2.12763,1.46696,1.73266,0.0016172,0.0016172,0.0016172
60,402.684,1.49345,1.14179,1.3403,0.70751,0.71858,0.73578,0.22059,2.24959,1.42364,1.79518,0.0016106,0.0016106,0.0016106
61,408.903,1.45707,1.14774,1.33233,0.73005,0.7352,0.78311,0.25241,2.01409,1.69974,1.6668,0.001604,0.001604,0.001604
