epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2202,3.47872,3.67971,4.22474,0.00049,0.01776,0.00025,9e-05,3.70951,4.1221,4.16055,0.00064,0.00064,0.00064
2,15.5333,3.06748,2.97484,3.52147,0.00072,0.02596,0.00037,0.00015,3.68281,3.8802,4.13091,0.00129571,0.00129571,0.00129571
3,23.1867,2.54568,2.5574,2.85042,0.07945,0.12705,0.03471,0.00983,2.80859,3.00602,2.93095,0.00194706,0.00194706,0.00194706
4,29.9259,2.30488,2.31215,2.48102,0.2728,0.22541,0.17192,0.06612,2.33549,2.71775,2.68565,0.0019802,0.0019802,0.0019802
5,36.7746,2.14772,2.09454,2.29123,0.40447,0.28689,0.24622,0.07551,2.23526,3.31559,2.3992,0.0019736,0.0019736,0.0019736
6,43.2533,2.0831,1.92644,2.14265,0.38434,0.24727,0.19582,0.05712,2.37911,3.20071,2.36894,0.001967,0.001967,0.001967
7,50.8671,2.03265,1.84246,2.04247,0.40172,0.27186,0.23023,0.0812,2.20654,3.63369,2.30716,0.0019604,0.0019604,0.0019604
8,56.5536,1.92708,1.73379,1.9471,0.55148,0.51063,0.47391,0.14233,2.22718,2.33349,2.0744,0.0019538,0.0019538,0.0019538
9,64.0094,1.91371,1.71019,1.88271,0.63033,0.52732,0.55442,0.20744,2.01567,1.77252,1.87081,0.0019472,0.0019472,0.0019472
10,70.4302,1.88865,1.63638,1.82723,0.67092,0.60159,0.60945,0.22901,1.94515,1.96557,1.79693,0.0019406,0.0019406,0.0019406
11,76.5353,1.84657,1.54,1.75638,0.64756,0.62,0.61159,0.21573,2.06542,1.86559,1.90398,0.001934,0.001934,0.001934
12,83.3967,1.88925,1.60103,1.80487,0.5359,0.43579,0.45999,0.13009,2.32086,2.48467,2.13403,0.0019274,0.0019274,0.0019274
13,90.1671,1.84841,1.65196,1.74066,0.54556,0.53005,0.53843,0.17823,2.10515,2.25164,1.89799,0.0019208,0.0019208,0.0019208
14,97.0903,1.76846,1.56737,1.68576,0.64205,0.5979,0.62206,0.24169,1.77942,2.35508,1.71068,0.0019142,0.0019142,0.0019142
15,104.603,1.75739,1.51382,1.66982,0.59138,0.61475,0.60192,0.21482,1.95797,2.20986,1.81349,0.0019076,0.0019076,0.0019076
