epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.14228,3.47052,3.72179,4.21055,0.00048,0.01776,0.00025,9e-05,3.70613,4.11851,4.15755,0.00064,0.00064,0.00064
2,15.1774,3.05755,3.00688,3.47676,0.00319,0.13115,0.00181,0.00064,3.57054,3.74999,3.9388,0.00129571,0.00129571,0.00129571
3,22.8609,2.47903,2.50376,2.73075,0.27358,0.07377,0.04822,0.01169,3.11015,3.3733,3.5915,0.00194706,0.00194706,0.00194706
4,29.9227,2.2779,2.24294,2.39913,0.07629,0.21858,0.03643,0.01061,2.87546,14.6449,2.95514,0.0019802,0.0019802,0.0019802
5,36.9403,2.15858,2.04697,2.24184,0.50297,0.31011,0.29658,0.11244,2.13925,3.04555,2.24453,0.0019736,0.0019736,0.0019736
6,43.7591,2.09088,1.90665,2.10282,0.51643,0.43306,0.39799,0.11462,2.31698,2.76741,2.24222,0.001967,0.001967,0.001967
7,51.2931,2.05526,1.84527,2.0133,0.44054,0.45765,0.32587,0.1081,2.07698,6.09093,2.01821,0.0019604,0.0019604,0.0019604
8,57.4273,1.96637,1.72083,1.92539,0.55402,0.46721,0.46907,0.16085,2.05429,4.23799,1.94631,0.0019538,0.0019538,0.0019538
9,64.8123,1.9379,1.73698,1.85043,0.62535,0.49727,0.52363,0.17001,2.18583,1.6612,1.96195,0.0019472,0.0019472,0.0019472
10,71.3428,1.88206,1.65508,1.80187,0.58756,0.53962,0.53504,0.18474,2.01561,2.12673,1.8313,0.0019406,0.0019406,0.0019406
11,77.5615,1.85736,1.58032,1.73044,0.652,0.58869,0.61714,0.20754,2.0572,2.26035,1.91424,0.001934,0.001934,0.001934
12,84.4491,1.8919,1.61418,1.78523,0.45597,0.46858,0.43309,0.12645,2.40731,2.40325,2.26571,0.0019274,0.0019274,0.0019274
13,91.2204,1.84586,1.61049,1.71733,0.56836,0.49044,0.51115,0.18224,2.03975,2.29401,1.86092,0.0019208,0.0019208,0.0019208
14,97.9577,1.77953,1.53424,1.65574,0.60064,0.58351,0.58465,0.19651,1.96839,2.34495,1.85396,0.0019142,0.0019142,0.0019142
15,104.639,1.75788,1.48826,1.64983,0.68585,0.63525,0.67431,0.23854,1.99749,1.6372,1.785,0.0019076,0.0019076,0.0019076
16,111.084,1.69373,1.41821,1.62531,0.64251,0.50578,0.5507,0.16285,2.29498,2.4314,2.00728,0.001901,0.001901,0.001901
17,117.863,1.73393,1.47162,1.62151,0.62858,0.60792,0.63147,0.21252,2.0947,1.62342,1.88106,0.0018944,0.0018944,0.0018944
18,124.741,1.70575,1.44764,1.58435,0.65217,0.56831,0.58394,0.14779,2.24742,1.68329,1.9786,0.0018878,0.0018878,0.0018878
19,132.004,1.65721,1.42316,1.57766,0.70454,0.56356,0.62274,0.19312,2.04302,2.51506,1.91892,0.0018812,0.0018812,0.0018812
