epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.6053,3.49634,3.63221,4.16569,0.00047,0.01776,0.00025,9e-05,3.70804,4.10768,4.15589,0.00064,0.00064,0.00064
2,14.7253,3.24361,2.97613,3.55201,0.00378,0.1612,0.00221,0.00071,3.49624,3.70135,3.79221,0.00129571,0.00129571,0.00129571
3,22.5682,2.70907,2.59304,2.9156,0.01847,0.07787,0.00784,0.00231,2.93233,3.82639,3.02417,0.00194706,0.00194706,0.00194706
4,29.6087,2.3797,2.32852,2.50133,0.26997,0.21311,0.14915,0.04134,2.43589,3.08941,2.50621,0.0019802,0.0019802,0.0019802
5,36.43,2.17846,2.04284,2.24306,0.28807,0.35246,0.171,0.0652,2.12195,3.66372,2.32686,0.0019736,0.0019736,0.0019736
6,43.0467,2.11445,1.90012,2.0805,0.45042,0.39859,0.34649,0.11122,2.31368,2.84222,2.12946,0.001967,0.001967,0.001967
7,50.6598,2.08443,1.82667,1.99572,0.47563,0.46038,0.39963,0.15466,2.08608,6.35434,1.98299,0.0019604,0.0019604,0.0019604
8,56.6364,1.9669,1.74684,1.91394,0.61912,0.53825,0.52873,0.18408,1.98354,2.17499,1.86869,0.0019538,0.0019538,0.0019538
9,64.1318,1.9389,1.71429,1.82459,0.60438,0.53415,0.53444,0.18863,2.02823,1.78607,1.82434,0.0019472,0.0019472,0.0019472
10,70.6266,1.89169,1.63424,1.7701,0.68869,0.61475,0.60467,0.21079,1.97214,2.06978,1.77889,0.0019406,0.0019406,0.0019406
11,76.8875,1.87033,1.53025,1.7129,0.62169,0.59973,0.59254,0.19744,2.10955,1.84713,1.89041,0.001934,0.001934,0.001934
12,83.6828,1.94312,1.62036,1.77424,0.48098,0.42077,0.41182,0.1046,2.64115,1.73773,2.22374,0.0019274,0.0019274,0.0019274
13,90.3171,1.84998,1.62411,1.72495,0.54143,0.4918,0.51134,0.15539,2.16713,1.79084,1.93479,0.0019208,0.0019208,0.0019208
14,97.16,1.78625,1.54656,1.6462,0.58507,0.53962,0.5458,0.15762,2.17838,3.22159,1.95,0.0019142,0.0019142,0.0019142
15,103.962,1.79265,1.48743,1.64872,0.68117,0.62705,0.65792,0.27019,1.81834,1.94124,1.68127,0.0019076,0.0019076,0.0019076
16,110.32,1.72393,1.44567,1.61864,0.66762,0.59016,0.61386,0.21401,2.06653,1.79827,1.80476,0.001901,0.001901,0.001901
17,116.437,1.75647,1.4757,1.6198,0.68587,0.64754,0.67289,0.28096,1.88606,1.39048,1.65673,0.0018944,0.0018944,0.0018944
18,123.088,1.69999,1.4338,1.5687,0.69727,0.60414,0.63907,0.1933,2.18093,1.55068,1.81913,0.0018878,0.0018878,0.0018878
19,129.914,1.64456,1.40666,1.54736,0.67113,0.56967,0.60648,0.18587,2.17313,1.853,1.94536,0.0018812,0.0018812,0.0018812
20,136.486,1.6796,1.38943,1.5447,0.64628,0.60929,0.64057,0.23827,1.92226,1.88533,1.70497,0.0018746,0.0018746,0.0018746
21,143.259,1.66404,1.40973,1.53963,0.69904,0.64071,0.69513,0.26378,1.95832,1.53327,1.69034,0.001868,0.001868,0.001868
22,151.239,1.67984,1.37571,1.55935,0.70451,0.70028,0.70995,0.26628,1.84155,1.48115,1.61101,0.0018614,0.0018614,0.0018614
23,157.781,1.64114,1.36126,1.48591,0.63662,0.64617,0.6348,0.19045,2.11276,2.58359,1.75788,0.0018548,0.0018548,0.0018548
24,164.465,1.6251,1.33122,1.50949,0.67216,0.68903,0.67952,0.24982,1.92515,1.56485,1.68542,0.0018482,0.0018482,0.0018482
25,171.737,1.66212,1.36161,1.50707,0.68593,0.71311,0.73646,0.29292,1.77956,1.46843,1.58086,0.0018416,0.0018416,0.0018416
26,178.048,1.5809,1.32714,1.48691,0.71202,0.7127,0.72788,0.25939,1.97054,1.7978,1.68431,0.001835,0.001835,0.001835
27,183.569,1.60307,1.30027,1.45689,0.71285,0.66803,0.67621,0.21351,2.14418,1.62067,1.79491,0.0018284,0.0018284,0.0018284
28,190.1,1.6585,1.34459,1.50109,0.57729,0.70082,0.6074,0.25203,1.88017,1.7273,1.62562,0.0018218,0.0018218,0.0018218
29,197.106,1.57279,1.3117,1.44694,0.69461,0.64942,0.67944,0.19167,2.20065,1.55117,1.86465,0.0018152,0.0018152,0.0018152
30,204.514,1.61035,1.33522,1.48847,0.66104,0.70219,0.6502,0.20835,2.00668,1.76065,1.76188,0.0018086,0.0018086,0.0018086
31,211.414,1.55185,1.30669,1.4545,0.70581,0.76639,0.75124,0.3301,1.72995,1.45323,1.50074,0.001802,0.001802,0.001802
32,217.818,1.58769,1.29052,1.43447,0.73053,0.68169,0.72083,0.26187,2.08226,1.33432,1.7111,0.0017954,0.0017954,0.0017954
33,223.779,1.59827,1.31413,1.43142,0.65698,0.6735,0.68361,0.18337,2.26286,1.70863,1.91218,0.0017888,0.0017888,0.0017888
34,230.235,1.54365,1.25687,1.40763,0.66523,0.71175,0.707,0.20443,2.20787,1.84733,1.8592,0.0017822,0.0017822,0.0017822
35,237.131,1.54796,1.27924,1.42621,0.70548,0.71858,0.70324,0.23405,2.07362,1.60956,1.76299,0.0017756,0.0017756,0.0017756
36,243.51,1.55036,1.23659,1.40037,0.69808,0.77186,0.75247,0.24074,2.12663,1.44588,1.76922,0.001769,0.001769,0.001769
37,249.898,1.53263,1.21996,1.44811,0.74168,0.74454,0.79105,0.32111,1.90425,1.42169,1.60109,0.0017624,0.0017624,0.0017624
38,256.216,1.53977,1.21349,1.42376,0.7063,0.71448,0.74042,0.24445,2.05185,1.46989,1.75404,0.0017558,0.0017558,0.0017558
39,263.665,1.55571,1.25314,1.44201,0.64137,0.66667,0.64684,0.1804,2.20907,1.7808,1.8574,0.0017492,0.0017492,0.0017492
40,270.448,1.54749,1.24937,1.43043,0.71735,0.69809,0.73243,0.22013,2.19803,1.41239,1.79486,0.0017426,0.0017426,0.0017426
41,276.883,1.53642,1.22866,1.41297,0.67757,0.69945,0.70812,0.22257,2.15659,1.53067,1.78673,0.001736,0.001736,0.001736
