grade,xlabel,ylabel,zlabel,,,,,
1_0,0.34814,0.14817,0.62,,,,,
1_1,0.34859,0.14832,0.63,,,,0.34814,0.62
1_2,0.35137,0.14592,0.65,,,,0.34859,0.63
1_3,0.34885,0.14803,0.63,,,,0.35137,0.65
1_4,0.34872,0.14817,0.62,,,,0.34885,0.63
1_5,0.34832,0.14791,0.62,,,,0.34872,0.62
1_6,0.34846,0.14803,0.64,,,,0.34832,0.62
1_7,0.347,0.14803,0.62,,,,0.34846,0.64
1_8,0.34872,0.14817,0.63,,,,0.347,0.62
1_9,0.3474,0.1479,0.62,,,,0.34872,0.63
2_0,0.34356,0.13639,0.6,,,,0.3474,0.62
2_1,0.34091,0.13467,0.62,,,,0.34356,0.6
2_2,0.34793,0.13537,0.6,,,,0.34091,0.62
2_3,0.34475,0.13626,0.58,,,,0.34793,0.6
2_4,0.34846,0.1348,0.59,,,,0.34475,0.58
2_5,0.34568,0.1356,0.61,,,,0.34846,0.59
2_6,0.34501,0.13626,0.61,,,,0.34568,0.61
2_7,0.3425,0.13613,0.6,,,,0.34501,0.61
2_8,0.34224,0.13626,0.61,,,,0.3425,0.6
2_9,0.34528,0.136,0.6,,,,0.34224,0.61
3_0,0.372,0.14763,0.59,,,,0.34528,0.6
3_1,0.37174,0.14658,0.58,,,,0.372,0.59
3_2,0.37558,0.14579,0.6,,,,0.37174,0.58
3_3,0.37399,0.1479,0.6,,,,0.37558,0.6
3_4,0.34791,0.14711,0.6,,,,0.37399,0.6
3_5,0.37161,0.1483,0.6,,,,0.34791,0.6
3_6,0.37148,0.13626,0.61,,,,0.37161,0.6
3_7,0.37214,0.14751,0.59,,,,0.37148,0.61
3_8,0.3732,0.14592,0.59,,,,0.37214,0.59
3_9,0.3724,0.14711,0.59,,,,0.3732,0.59
4_0,0.34092,0.18904,0.58,,,,0.3724,0.59
4_1,0.34052,0.18865,0.6,,,,0.34092,0.58
4_2,0.34012,0.18733,0.61,,,,0.34052,0.6
4_3,0.33787,0.18825,0.58,,,,0.34012,0.61
4_4,0.34303,0.1782,0.57,,,,0.33787,0.58
4_5,0.34647,0.18627,0.62,,,,0.34303,0.57
4_6,0.33443,0.18785,0.6,,,,0.34647,0.62
4_7,0.33734,0.18733,0.56,,,,0.33443,0.6
4_8,0.34859,0.18838,0.6,,,,0.33734,0.56
4_9,0.34211,0.18534,0.63,,,,0.34859,0.6
5_0,0.34914,0.1774,0.6,,,,0.34211,0.63
5_1,0.34885,0.17688,0.61,,,,0.34914,0.6
5_2,0.34938,0.17661,0.62,,,,0.34885,0.61
5_3,0.3466,0.17767,0.6,,,,0.34938,0.62
5_4,0.35243,0.1782,0.58,,,,0.3466,0.6
5_5,0.34647,0.18627,0.62,,,,0.35243,0.58
5_6,0.34528,0.17754,0.61,,,,0.34647,0.62
5_7,0.34925,0.17833,0.57,,,,0.34528,0.61
5_8,0.35772,0.17674,0.61,,,,0.34925,0.57
5_9,0.35243,0.17449,0.63,,,,0.35772,0.61
6_0,0.3466,0.11946,0.64,,,,0.35243,0.63
6_1,0.34608,0.11933,0.61,,,,0.3466,0.64
6_2,0.34515,0.1188,0.62,,,,0.34608,0.61
6_3,0.34541,0.1188,0.63,,,,0.34515,0.62
6_4,0.34608,0.11933,0.62,,,,0.34541,0.63
6_5,0.34568,0.11906,0.62,,,,0.34608,0.62
6_6,0.34687,0.1188,0.63,,,,0.34568,0.62
6_7,0.34713,0.11906,0.61,,,,0.34687,0.63
6_8,0.34568,0.1184,0.61,,,,0.34713,0.61
6_9,0.34753,0.11893,0.62,,,,0.34568,0.61
7_0,0.35785,0.14102,0.62,,,,0.34753,0.62
7_1,0.35018,0.17846,0.62,,,,0.35785,0.62
7_2,0.35335,0.17873,0.64,,,,0.35018,0.62
7_3,0.34978,0.17912,0.6,,,,0.35335,0.64
7_4,0.34541,0.17873,0.59,,,,0.34978,0.6
7_5,0.34158,0.17701,0.58,,,,0.34541,0.59
7_6,0.34052,0.15756,0.57,,,,0.34158,0.58
7_7,0.35123,0.1782,0.61,,,,0.34052,0.57
7_8,0.35494,0.17806,0.63,,,,0.35123,0.61
7_9,0.34925,0.17873,0.61,,,,0.35494,0.63
8_0,0.34859,0.15505,0.6,,,,0.34925,0.61
