epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6876,3.37632,3.63429,2.74468,0.00378,0.1612,0.00223,0.00072,3.56163,3.8779,2.68845,0.00064,0.00064,0.00064
2,20.492,2.65404,3.11688,2.20591,0.00378,0.1612,0.01262,0.0035,3.52512,3.81674,2.68311,0.00129571,0.00129571,0.00129571
3,27.1534,2.26705,2.41688,1.80621,0.00537,0.06284,0.00426,0.00143,3.12241,3.74159,3.73152,0.00194706,0.00194706,0.00194706
4,33.737,2.09929,2.1315,1.67138,0.06937,0.06557,0.02275,0.00611,2.61948,3.19401,2.09174,0.0019802,0.0019802,0.0019802
5,40.3034,1.9644,1.9619,1.5939,0.33529,0.3306,0.21362,0.05437,2.32256,2.44534,1.81179,0.0019736,0.0019736,0.0019736
6,46.8709,1.91277,1.8784,1.53064,0.42637,0.39805,0.32067,0.07925,2.34633,2.20943,1.93106,0.001967,0.001967,0.001967
7,53.3353,1.8651,1.77379,1.50125,0.51445,0.56694,0.49606,0.18002,2.04326,2.14066,1.62186,0.0019604,0.0019604,0.0019604
8,59.8241,1.79954,1.68736,1.47902,0.56649,0.54805,0.51858,0.17618,2.07605,1.90092,1.59941,0.0019538,0.0019538,0.0019538
9,66.361,1.76985,1.61305,1.41014,0.51716,0.53415,0.48694,0.11745,2.31001,1.91052,1.81028,0.0019472,0.0019472,0.0019472
10,72.8981,1.74813,1.58929,1.45422,0.51799,0.52732,0.48302,0.14523,2.2198,2.01892,1.71632,0.0019406,0.0019406,0.0019406
11,79.3674,1.67802,1.52506,1.37817,0.64003,0.61339,0.59588,0.20316,1.9415,2.25594,1.52657,0.001934,0.001934,0.001934
12,85.8522,1.68738,1.522,1.41111,0.57099,0.54918,0.50536,0.15519,2.12991,2.05146,1.66212,0.0019274,0.0019274,0.0019274
13,92.3325,1.62968,1.49404,1.36353,0.59851,0.58855,0.55432,0.14461,2.13853,1.84899,1.66322,0.0019208,0.0019208,0.0019208
14,98.7622,1.64309,1.45978,1.34386,0.66826,0.62022,0.65101,0.19622,2.03921,1.78229,1.59221,0.0019142,0.0019142,0.0019142
15,105.271,1.58625,1.41894,1.35199,0.54958,0.57923,0.50173,0.1347,2.20291,2.11103,1.77123,0.0019076,0.0019076,0.0019076
16,111.728,1.60953,1.39684,1.33395,0.65127,0.6735,0.67186,0.21753,1.96557,1.7502,1.55184,0.001901,0.001901,0.001901
17,118.181,1.58526,1.40164,1.33021,0.63526,0.69238,0.6815,0.2375,1.87746,1.65585,1.44998,0.0018944,0.0018944,0.0018944
18,124.603,1.56753,1.39408,1.31686,0.62622,0.62711,0.62344,0.18023,2.06949,1.68726,1.61061,0.0018878,0.0018878,0.0018878
19,131.174,1.5325,1.3363,1.29438,0.56343,0.60519,0.57254,0.15272,2.14694,1.91712,1.71373,0.0018812,0.0018812,0.0018812
20,137.679,1.53606,1.33926,1.3041,0.59826,0.60828,0.57864,0.15261,2.10616,1.83673,1.65827,0.0018746,0.0018746,0.0018746
21,144.092,1.48764,1.30688,1.26687,0.59296,0.62091,0.5819,0.15815,2.1591,1.79891,1.68391,0.001868,0.001868,0.001868
22,150.565,1.49334,1.33746,1.29069,0.56572,0.56967,0.53119,0.13171,2.22811,1.91863,1.78193,0.0018614,0.0018614,0.0018614
23,156.979,1.48304,1.27283,1.26349,0.61726,0.63934,0.61601,0.16805,2.11842,1.80729,1.6445,0.0018548,0.0018548,0.0018548
24,163.38,1.4502,1.26523,1.26844,0.63058,0.64071,0.62246,0.16439,2.21468,1.60767,1.69256,0.0018482,0.0018482,0.0018482
25,169.94,1.45567,1.26123,1.24175,0.66571,0.64617,0.66473,0.21007,1.99704,1.66923,1.52898,0.0018416,0.0018416,0.0018416
26,176.28,1.48232,1.24452,1.2644,0.69368,0.65586,0.68233,0.20141,2.02116,1.65693,1.55516,0.001835,0.001835,0.001835
27,182.744,1.43928,1.24052,1.23269,0.6476,0.67533,0.64269,0.19368,2.05552,1.6936,1.58612,0.0018284,0.0018284,0.0018284
28,189.296,1.42059,1.2232,1.23611,0.63884,0.67077,0.64185,0.18225,1.9684,1.83454,1.5529,0.0018218,0.0018218,0.0018218
29,195.779,1.42073,1.25971,1.22642,0.65799,0.70963,0.65878,0.20675,1.91175,2.14018,1.49248,0.0018152,0.0018152,0.0018152
30,202.32,1.43709,1.27462,1.23045,0.68012,0.6776,0.69372,0.22086,1.91487,1.86056,1.51487,0.0018086,0.0018086,0.0018086
