epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90084,3.56863,3.5398,4.0935,0.00048,0.01776,0.00026,0.0001,3.7107,4.10993,4.14773,0.00064,0.00064,0.00064
2,12.7354,3.01546,2.74618,3.47014,0.00093,0.03962,0.00051,0.00015,3.47311,3.88799,3.82294,0.00129571,0.00129571,0.00129571
3,16.2103,2.57019,2.26637,2.77463,0.00696,0.29645,0.02153,0.00494,3.1926,3.34812,3.11,0.00194706,0.00194706,0.00194706
4,19.5026,2.35534,1.96864,2.44689,0.39066,0.31618,0.23631,0.06935,2.30375,2.29172,2.35203,0.0019802,0.0019802,0.0019802
5,23.6526,2.21189,1.85751,2.31094,0.42123,0.33333,0.27181,0.07107,2.44965,2.19341,2.5914,0.0019736,0.0019736,0.0019736
6,27.5658,2.13305,1.76393,2.17004,0.58618,0.56118,0.52699,0.17153,2.16845,1.89471,2.17665,0.001967,0.001967,0.001967
7,31.8217,2.03899,1.66601,2.08507,0.50163,0.50273,0.44452,0.12802,2.26339,2.12244,2.18146,0.0019604,0.0019604,0.0019604
8,35.516,1.91642,1.59401,1.9957,0.57051,0.51356,0.47148,0.12968,2.26046,1.91942,2.16023,0.0019538,0.0019538,0.0019538
9,39.8275,1.93138,1.52623,1.90702,0.43248,0.41257,0.31116,0.06833,2.61083,2.24812,2.63855,0.0019472,0.0019472,0.0019472
10,43.7117,1.92559,1.50307,1.95632,0.5756,0.56831,0.52759,0.15583,2.18553,2.15286,2.18544,0.0019406,0.0019406,0.0019406
11,48.0473,1.80462,1.48011,1.85907,0.60261,0.59836,0.58677,0.18214,2.01183,2.04537,2.01883,0.001934,0.001934,0.001934
12,51.922,1.81962,1.44246,1.87471,0.60661,0.58333,0.56904,0.15696,2.20865,2.43674,2.20222,0.0019274,0.0019274,0.0019274
13,55.8563,1.73406,1.39378,1.7727,0.60828,0.56831,0.53717,0.13232,2.19273,1.83908,2.12453,0.0019208,0.0019208,0.0019208
14,59.8806,1.73304,1.38219,1.74987,0.69296,0.61612,0.61955,0.17405,2.16984,1.77573,2.07715,0.0019142,0.0019142,0.0019142
15,64.1509,1.68297,1.33688,1.79025,0.55741,0.5724,0.51662,0.12924,2.44384,1.82216,2.36533,0.0019076,0.0019076,0.0019076
16,68.3085,1.69975,1.34694,1.74477,0.64127,0.63739,0.65971,0.21386,1.98933,1.66517,1.97201,0.001901,0.001901,0.001901
17,72.2015,1.68679,1.381,1.74466,0.65539,0.69945,0.69835,0.24739,1.86667,1.56342,1.88427,0.0018944,0.0018944,0.0018944
18,76.4141,1.62362,1.34048,1.68122,0.61085,0.61202,0.59693,0.15392,2.20029,1.86378,2.14373,0.0018878,0.0018878,0.0018878
19,80.2991,1.56546,1.28337,1.63173,0.57852,0.64344,0.58762,0.14933,2.29445,1.78795,2.32522,0.0018812,0.0018812,0.0018812
20,84.7398,1.59888,1.31744,1.6642,0.6433,0.59016,0.59755,0.14877,2.23618,1.66775,2.13445,0.0018746,0.0018746,0.0018746
21,88.6758,1.55115,1.27228,1.62124,0.63025,0.60777,0.56856,0.143,2.22818,1.7014,2.15515,0.001868,0.001868,0.001868
22,93.0465,1.53036,1.30711,1.62456,0.55834,0.54508,0.5015,0.11852,2.30417,1.75665,2.15254,0.0018614,0.0018614,0.0018614
