epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80041,3.60128,3.55911,4.08945,0.00048,0.01776,0.00025,0.0001,3.71704,4.11621,4.15332,0.00064,0.00064,0.00064
2,12.927,3.06264,2.80041,3.45647,0.00095,0.03689,0.00056,0.00016,3.48135,3.94369,3.84731,0.00129571,0.00129571,0.00129571
3,16.7494,2.60128,2.32727,2.73996,0.00462,0.19672,0.01303,0.00398,3.3336,3.56829,3.44665,0.00194706,0.00194706,0.00194706
4,20.5046,2.33027,2.01439,2.40142,0.38577,0.18018,0.15686,0.03252,2.78103,2.68506,2.87362,0.0019802,0.0019802,0.0019802
5,24.1959,2.20222,1.84732,2.27418,0.30589,0.23907,0.14681,0.03184,2.59661,2.42349,2.58871,0.0019736,0.0019736,0.0019736
6,27.6491,2.10761,1.7813,2.16648,0.481,0.43173,0.38155,0.09216,2.42137,2.19932,2.41054,0.001967,0.001967,0.001967
7,31.8434,2.0258,1.70905,2.08423,0.52838,0.50137,0.4758,0.13163,2.23188,2.04454,2.14575,0.0019604,0.0019604,0.0019604
8,35.6991,1.93968,1.62691,2.01625,0.45957,0.47863,0.39366,0.09042,2.48074,2.04846,2.39506,0.0019538,0.0019538,0.0019538
9,39.8591,1.94675,1.56449,1.92187,0.4273,0.45082,0.35518,0.08496,2.46311,1.92456,2.39473,0.0019472,0.0019472,0.0019472
10,43.7634,1.92097,1.53871,1.94683,0.54925,0.5724,0.54945,0.181,2.20778,2.20561,2.24762,0.0019406,0.0019406,0.0019406
11,48.1099,1.81346,1.50146,1.83942,0.55929,0.54781,0.50252,0.12934,2.21384,1.86422,2.13473,0.001934,0.001934,0.001934
12,52.0247,1.81799,1.50981,1.85598,0.42868,0.46175,0.34022,0.08738,2.21892,3.03735,2.1475,0.0019274,0.0019274,0.0019274
13,56.0213,1.7664,1.47727,1.79188,0.60573,0.59153,0.55421,0.15909,2.0794,1.74413,1.99288,0.0019208,0.0019208,0.0019208
14,59.791,1.74895,1.42178,1.73403,0.63371,0.58197,0.60099,0.16383,2.11333,1.77372,2.01903,0.0019142,0.0019142,0.0019142
15,64.0698,1.69224,1.41839,1.78306,0.4684,0.55191,0.45771,0.11509,2.3447,1.81537,2.21648,0.0019076,0.0019076,0.0019076
16,68.1796,1.67964,1.39938,1.71814,0.57083,0.65437,0.60525,0.20024,1.94729,2.13022,1.94667,0.001901,0.001901,0.001901
17,71.9955,1.69289,1.40322,1.72972,0.62024,0.69399,0.68713,0.26347,1.82131,1.48723,1.78957,0.0018944,0.0018944,0.0018944
18,76.2062,1.63114,1.37473,1.66678,0.60325,0.62106,0.617,0.18911,1.96345,1.61964,1.9077,0.0018878,0.0018878,0.0018878
19,80.0779,1.58317,1.30376,1.62098,0.58966,0.63409,0.59309,0.1517,2.28161,1.69228,2.19974,0.0018812,0.0018812,0.0018812
