epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4454,3.42163,3.57785,2.75895,0.00327,0.13934,0.0019,0.00049,3.57126,3.89427,2.70081,0.00064,0.00064,0.00064
2,20.218,2.84779,3.22038,2.29027,0.00455,0.19399,0.0037,0.00125,3.57418,3.80557,2.70378,0.00129571,0.00129571,0.00129571
3,26.9299,2.30788,2.56283,1.87927,0.00176,0.07514,0.00111,0.00036,3.37654,3.94042,3.92006,0.00194706,0.00194706,0.00194706
4,33.7808,2.08842,2.18959,1.67102,0.26849,0.09016,0.07277,0.0154,2.69844,3.0574,2.5334,0.0019802,0.0019802,0.0019802
5,40.498,1.96948,2.00966,1.60764,0.51862,0.39754,0.36506,0.10187,2.20046,2.45282,1.84292,0.0019736,0.0019736,0.0019736
6,47.0316,1.86319,1.86646,1.51593,0.56854,0.52459,0.48757,0.13966,2.15647,2.46328,1.77083,0.001967,0.001967,0.001967
7,53.4699,1.83119,1.78623,1.50468,0.56853,0.51093,0.52556,0.17377,2.03984,2.32735,1.61464,0.0019604,0.0019604,0.0019604
8,60.0192,1.74402,1.69494,1.45344,0.57293,0.60656,0.54609,0.16829,2.10186,1.98688,1.64538,0.0019538,0.0019538,0.0019538
9,66.6116,1.75377,1.63783,1.41095,0.51972,0.53005,0.45078,0.11429,2.25844,2.03068,1.77152,0.0019472,0.0019472,0.0019472
10,73.0539,1.71735,1.59044,1.44081,0.53259,0.5526,0.48383,0.15049,2.09084,2.24666,1.61701,0.0019406,0.0019406,0.0019406
11,79.4821,1.65957,1.53659,1.38301,0.67983,0.63815,0.63475,0.20911,1.97432,1.91247,1.52688,0.001934,0.001934,0.001934
12,85.9043,1.67887,1.52697,1.41824,0.5766,0.60929,0.56262,0.19318,1.948,2.02763,1.57231,0.0019274,0.0019274,0.0019274
13,92.2404,1.61759,1.48214,1.35905,0.58766,0.54781,0.50871,0.1285,2.1242,2.02901,1.65712,0.0019208,0.0019208,0.0019208
14,98.6323,1.62148,1.45709,1.32973,0.63687,0.61749,0.61226,0.14945,2.14537,1.89018,1.62546,0.0019142,0.0019142,0.0019142
15,105.018,1.56524,1.42908,1.34384,0.49897,0.54555,0.48087,0.1231,2.19954,2.11168,1.77633,0.0019076,0.0019076,0.0019076
16,111.463,1.59633,1.41552,1.32523,0.63174,0.61339,0.6298,0.18395,2.01222,1.8249,1.5699,0.001901,0.001901,0.001901
17,117.887,1.58803,1.42433,1.33328,0.64335,0.66045,0.65773,0.22198,1.8907,1.67184,1.49778,0.0018944,0.0018944,0.0018944
18,124.143,1.55179,1.40241,1.30706,0.66318,0.64285,0.66313,0.20705,1.92843,1.65129,1.49318,0.0018878,0.0018878,0.0018878
19,130.858,1.51582,1.34337,1.27853,0.59832,0.63692,0.60809,0.16254,2.03781,1.91739,1.62264,0.0018812,0.0018812,0.0018812
20,137.275,1.52377,1.35357,1.28521,0.54496,0.5765,0.5388,0.15034,1.99784,1.88747,1.58141,0.0018746,0.0018746,0.0018746
21,143.637,1.48397,1.32198,1.26001,0.61855,0.61749,0.61029,0.15315,2.1192,1.74909,1.65064,0.001868,0.001868,0.001868
22,149.94,1.49291,1.33217,1.28249,0.56145,0.62705,0.55984,0.14825,2.09566,1.95256,1.61506,0.0018614,0.0018614,0.0018614
