epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.07511,3.61886,3.86295,4.22179,0.00049,0.01776,0.00026,0.0001,3.7091,4.13469,4.15683,0.00064,0.00064,0.00064
2,12.6948,3.27352,3.17556,3.68332,0.0004,0.01503,0.00021,9e-05,3.71482,4.11628,4.13933,0.00129571,0.00129571,0.00129571
3,16.1449,2.74155,2.63963,2.8828,0.01041,0.0123,0.00734,0.00341,3.05639,8.58697,3.18936,0.00194706,0.00194706,0.00194706
4,19.5093,2.39401,2.2264,2.41282,0.15029,0.16257,0.05223,0.01178,3.33184,3.46639,4.93328,0.0019802,0.0019802,0.0019802
5,23.6524,2.22279,1.99738,2.23356,0.38995,0.3265,0.25161,0.06771,2.43434,2.81834,2.45018,0.0019736,0.0019736,0.0019736
6,27.3162,2.1295,1.90849,2.08749,0.5368,0.47404,0.43789,0.14501,2.15625,2.33256,2.05151,0.001967,0.001967,0.001967
7,31.4216,2.06079,1.77726,1.99008,0.4111,0.43306,0.3495,0.11117,2.2105,2.68713,2.05336,0.0019604,0.0019604,0.0019604
8,35.3956,1.92868,1.69058,1.89016,0.45992,0.46417,0.34559,0.0789,2.42663,2.87901,2.19953,0.0019538,0.0019538,0.0019538
9,39.3428,1.95347,1.63026,1.82368,0.52617,0.54781,0.45131,0.11447,2.32818,2.25971,2.13904,0.0019472,0.0019472,0.0019472
10,43.1649,1.8893,1.60038,1.80478,0.54039,0.56831,0.50861,0.13623,2.24679,2.22179,2.12708,0.0019406,0.0019406,0.0019406
11,47.4745,1.82533,1.54225,1.7377,0.61022,0.59426,0.61023,0.19955,2.06823,1.65109,1.91229,0.001934,0.001934,0.001934
12,51.1938,1.83769,1.52576,1.7393,0.56531,0.57514,0.53486,0.1573,2.19969,2.67245,1.98129,0.0019274,0.0019274,0.0019274
13,55.4133,1.74556,1.47634,1.66364,0.5861,0.57377,0.52513,0.14531,2.22552,1.7292,2.01195,0.0019208,0.0019208,0.0019208
14,59.3965,1.73863,1.46112,1.62392,0.64745,0.62568,0.62627,0.19892,2.0224,2.13584,1.85926,0.0019142,0.0019142,0.0019142
15,63.4007,1.69217,1.43346,1.64633,0.57352,0.52869,0.4839,0.11538,2.30297,2.04212,2.11576,0.0019076,0.0019076,0.0019076
16,67.4058,1.7244,1.44046,1.61625,0.68737,0.62568,0.66659,0.24552,1.89751,2.11461,1.8143,0.001901,0.001901,0.001901
17,71.258,1.7198,1.42597,1.61849,0.66452,0.6738,0.69747,0.28057,1.75114,1.58356,1.65522,0.0018944,0.0018944,0.0018944
18,75.5798,1.65487,1.42644,1.57382,0.63557,0.62705,0.6371,0.1836,2.05886,1.81411,1.93712,0.0018878,0.0018878,0.0018878
19,79.1597,1.60132,1.35538,1.53327,0.65127,0.60977,0.60389,0.15376,2.16319,2.08128,2.03175,0.0018812,0.0018812,0.0018812
20,83.5433,1.63536,1.37157,1.55498,0.64277,0.61202,0.61004,0.17087,2.10856,1.65688,1.90969,0.0018746,0.0018746,0.0018746
21,87.4138,1.56379,1.34304,1.50984,0.61256,0.59828,0.58982,0.15865,2.15007,1.76534,1.93859,0.001868,0.001868,0.001868
22,91.7157,1.54516,1.36017,1.50791,0.54492,0.5202,0.48714,0.10603,2.23235,2.19697,2.0705,0.0018614,0.0018614,0.0018614
23,95.5183,1.52632,1.30721,1.48053,0.63447,0.67106,0.65228,0.1881,1.99103,1.9468,1.85748,0.0018548,0.0018548,0.0018548
24,99.4109,1.50283,1.30862,1.4917,0.63299,0.68033,0.65335,0.17992,2.05445,1.65128,1.86108,0.0018482,0.0018482,0.0018482
25,103.475,1.49266,1.27385,1.44,0.65162,0.68579,0.67546,0.23415,1.87487,1.71873,1.74187,0.0018416,0.0018416,0.0018416
26,107.544,1.5393,1.27772,1.48523,0.66598,0.64617,0.64611,0.17822,2.09846,1.76749,1.91738,0.001835,0.001835,0.001835
27,111.042,1.47515,1.26036,1.43094,0.56653,0.62314,0.54874,0.15287,2.0971,1.95544,1.91947,0.0018284,0.0018284,0.0018284
28,114.842,1.48251,1.254,1.4449,0.51116,0.63251,0.47689,0.13412,2.01278,1.87151,1.89004,0.0018218,0.0018218,0.0018218
29,119.034,1.48269,1.29527,1.45206,0.68339,0.69809,0.67995,0.20878,1.9253,1.96291,1.76344,0.0018152,0.0018152,0.0018152
30,123.1,1.48074,1.2949,1.44407,0.69916,0.69262,0.69016,0.21382,1.89571,1.75935,1.73061,0.0018086,0.0018086,0.0018086
31,126.818,1.4745,1.29236,1.45108,0.61533,0.70355,0.67535,0.2274,1.76393,1.65149,1.68867,0.001802,0.001802,0.001802
32,130.825,1.47255,1.23492,1.41774,0.59937,0.63934,0.61183,0.15032,2.13164,1.91857,1.94103,0.0017954,0.0017954,0.0017954
33,134.285,1.4852,1.25638,1.39809,0.58267,0.61418,0.57699,0.1428,2.16432,1.85795,1.98363,0.0017888,0.0017888,0.0017888
34,138.161,1.44845,1.23678,1.42355,0.68214,0.70765,0.70351,0.21096,1.9218,1.68131,1.76361,0.0017822,0.0017822,0.0017822
35,142.269,1.42821,1.23942,1.38679,0.64422,0.69399,0.68359,0.19946,1.98336,1.74095,1.81754,0.0017756,0.0017756,0.0017756
36,146.287,1.41858,1.19763,1.39377,0.65174,0.63147,0.65492,0.17209,2.08585,1.82048,1.89789,0.001769,0.001769,0.001769
37,149.601,1.45175,1.21688,1.40862,0.67453,0.69366,0.65583,0.17438,2.00815,1.7533,1.80032,0.0017624,0.0017624,0.0017624
38,153.533,1.41437,1.21013,1.41049,0.67871,0.70902,0.71836,0.22162,1.95534,1.7478,1.80147,0.0017558,0.0017558,0.0017558
39,157.409,1.42179,1.18746,1.39295,0.70307,0.70518,0.73147,0.22011,1.97139,1.67159,1.73376,0.0017492,0.0017492,0.0017492
40,161.329,1.421,1.2213,1.40086,0.67496,0.68716,0.6996,0.21365,1.9241,1.65931,1.74565,0.0017426,0.0017426,0.0017426
41,165.247,1.43117,1.19615,1.38221,0.73338,0.72149,0.75525,0.25163,1.85048,1.65917,1.70998,0.001736,0.001736,0.001736
42,168.995,1.39035,1.17996,1.38669,0.7516,0.74816,0.76995,0.26947,1.81288,1.508,1.68612,0.0017294,0.0017294,0.0017294
43,173.049,1.48835,1.21052,1.4014,0.69122,0.76366,0.73497,0.21805,1.87445,1.77666,1.72208,0.0017228,0.0017228,0.0017228
44,177.172,1.39236,1.19768,1.38926,0.73592,0.73854,0.75391,0.24176,1.84339,1.72753,1.68669,0.0017162,0.0017162,0.0017162
45,181.078,1.39118,1.18324,1.34903,0.74007,0.76235,0.78072,0.2983,1.7587,1.66302,1.60157,0.0017096,0.0017096,0.0017096
46,184.814,1.40497,1.16924,1.35608,0.6835,0.68151,0.69503,0.19616,1.99585,1.74843,1.81235,0.001703,0.001703,0.001703
47,189.166,1.38518,1.17362,1.35185,0.73489,0.75546,0.77385,0.28585,1.74186,1.70982,1.58274,0.0016964,0.0016964,0.0016964
48,193.245,1.37367,1.13508,1.33537,0.73163,0.74044,0.77838,0.28353,1.82652,1.56113,1.65231,0.0016898,0.0016898,0.0016898
49,197.52,1.40603,1.15048,1.36633,0.65575,0.71822,0.69303,0.211,1.90435,1.75833,1.7871,0.0016832,0.0016832,0.0016832
50,201.112,1.38681,1.12872,1.33806,0.71601,0.7459,0.73418,0.23676,1.8804,1.49373,1.69697,0.0016766,0.0016766,0.0016766
51,205.219,1.39294,1.1518,1.36523,0.73844,0.72507,0.77025,0.29053,1.77493,1.32026,1.62337,0.00167,0.00167,0.00167
52,209.189,1.32372,1.0642,1.31484,0.74882,0.75,0.76677,0.33979,1.61971,1.21355,1.4713,0.0016634,0.0016634,0.0016634
53,213.201,1.3422,1.09466,1.29164,0.68671,0.73665,0.74297,0.26371,1.84744,1.64855,1.65436,0.0016568,0.0016568,0.0016568
54,216.828,1.29502,1.04145,1.30392,0.73335,0.69884,0.74612,0.25449,2.09713,1.35036,1.88436,0.0016502,0.0016502,0.0016502
55,220.716,1.33716,1.07724,1.32377,0.58664,0.69945,0.57175,0.1658,2.21002,1.60173,1.98028,0.0016436,0.0016436,0.0016436
56,224.969,1.32552,1.05456,1.30694,0.75102,0.7788,0.81409,0.35956,1.75247,1.14798,1.54479,0.001637,0.001637,0.001637
57,228.959,1.31074,1.03691,1.31034,0.72121,0.80224,0.8203,0.39246,1.73381,1.17362,1.54856,0.0016304,0.0016304,0.0016304
58,232.55,1.2658,0.9995,1.28928,0.74483,0.75956,0.80923,0.37925,1.67678,1.1347,1.48661,0.0016238,0.0016238,0.0016238
59,236.416,1.33275,1.01842,1.31044,0.74731,0.77459,0.80546,0.32514,1.88884,1.178,1.70491,0.0016172,0.0016172,0.0016172
60,240.358,1.29069,1.02275,1.30353,0.75012,0.78741,0.80152,0.33403,1.77954,1.11474,1.52979,0.0016106,0.0016106,0.0016106
61,244.233,1.28222,0.9877,1.28769,0.74959,0.79235,0.80793,0.3992,1.6264,1.04131,1.42589,0.001604,0.001604,0.001604
62,248.456,1.2963,1.0116,1.29411,0.78997,0.75956,0.83033,0.46044,1.46705,1.11134,1.36084,0.0015974,0.0015974,0.0015974
63,252.361,1.29655,1.00915,1.31989,0.74156,0.78005,0.81058,0.35049,1.84937,1.19336,1.60391,0.0015908,0.0015908,0.0015908
64,255.705,1.29736,1.01231,1.29848,0.78327,0.80055,0.83748,0.44743,1.44852,0.98143,1.35625,0.0015842,0.0015842,0.0015842
65,259.404,1.26199,0.98106,1.2819,0.77706,0.78552,0.83247,0.36706,1.79901,1.05264,1.59367,0.0015776,0.0015776,0.0015776
