epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.24736,3.37077,3.67407,2.67013,0.00103,0.04372,0.00086,0.00021,3.62986,3.84656,2.52727,0.00064,0.00064,0.00064
2,14.5237,2.8805,3.1348,2.33241,0.00385,0.16393,0.00228,0.00086,3.56505,3.83613,2.51045,0.00129571,0.00129571,0.00129571
3,22.248,2.30729,2.51417,1.88734,0.09463,0.02322,0.01767,0.0047,2.85173,3.54,2.34813,0.00194706,0.00194706,0.00194706
4,29.4143,2.13656,2.26503,1.74474,0.26903,0.25546,0.18638,0.05371,2.26619,3.56931,1.97755,0.0019802,0.0019802,0.0019802
5,36.1439,1.98094,2.0556,1.64264,0.56211,0.46448,0.44492,0.1559,2.04807,2.16968,1.65372,0.0019736,0.0019736,0.0019736
6,42.7647,1.93112,1.91775,1.56487,0.53893,0.52186,0.48335,0.16742,1.96406,2.23518,1.57512,0.001967,0.001967,0.001967
7,49.8159,1.89747,1.79135,1.51698,0.54876,0.56148,0.50796,0.18975,1.96318,2.5445,1.53236,0.0019604,0.0019604,0.0019604
8,55.6909,1.81352,1.7099,1.48904,0.55915,0.54235,0.52535,0.1614,2.03814,2.45166,1.61156,0.0019538,0.0019538,0.0019538
9,63.1171,1.75398,1.67921,1.44112,0.6945,0.57104,0.62958,0.24496,1.86206,1.68129,1.45941,0.0019472,0.0019472,0.0019472
10,69.3783,1.71249,1.58031,1.40652,0.66628,0.64344,0.67303,0.25332,1.83013,1.86471,1.45736,0.0019406,0.0019406,0.0019406
11,75.483,1.72286,1.50985,1.40529,0.67142,0.60519,0.63566,0.24678,1.88463,1.8202,1.45619,0.001934,0.001934,0.001934
12,82.0757,1.71511,1.54392,1.39527,0.58761,0.55055,0.55566,0.16409,2.1413,1.976,1.68328,0.0019274,0.0019274,0.0019274
13,88.59,1.6872,1.54694,1.38412,0.68188,0.55636,0.62302,0.22971,1.92808,1.54204,1.52231,0.0019208,0.0019208,0.0019208
14,95.6736,1.6449,1.41791,1.34563,0.71531,0.61885,0.68704,0.25339,1.86986,1.65549,1.45987,0.0019142,0.0019142,0.0019142
15,102.896,1.63811,1.44996,1.35401,0.68091,0.62967,0.68973,0.2884,1.83236,1.40955,1.43748,0.0019076,0.0019076,0.0019076
16,109.373,1.58959,1.39551,1.34646,0.68101,0.67213,0.68875,0.23955,1.91916,1.69613,1.50842,0.001901,0.001901,0.001901
17,115.662,1.63558,1.41678,1.36019,0.6954,0.63115,0.68925,0.24262,1.95141,1.48792,1.50676,0.0018944,0.0018944,0.0018944
18,121.967,1.60065,1.38627,1.32338,0.66757,0.65841,0.65278,0.20229,2.13822,1.48434,1.60284,0.0018878,0.0018878,0.0018878
19,128.773,1.55894,1.3489,1.32174,0.66318,0.66667,0.68477,0.19753,2.13492,1.90835,1.68843,0.0018812,0.0018812,0.0018812
20,135.107,1.59272,1.32989,1.33033,0.7028,0.70426,0.72231,0.23206,2.05673,1.72541,1.6107,0.0018746,0.0018746,0.0018746
21,141.634,1.56323,1.33365,1.30729,0.65893,0.65719,0.6729,0.20949,1.94448,2.01575,1.54968,0.001868,0.001868,0.001868
22,149.835,1.57179,1.31688,1.32518,0.69679,0.72207,0.71857,0.26724,1.92899,1.53623,1.4736,0.0018614,0.0018614,0.0018614
23,156.07,1.57134,1.31411,1.30093,0.69992,0.69781,0.6912,0.19409,2.11684,1.6732,1.63665,0.0018548,0.0018548,0.0018548
24,162.852,1.54076,1.26767,1.31651,0.69555,0.69672,0.71918,0.24302,1.94983,1.51472,1.51304,0.0018482,0.0018482,0.0018482
25,169.856,1.57116,1.30548,1.31766,0.75341,0.74863,0.77951,0.30187,1.82846,1.36853,1.42207,0.0018416,0.0018416,0.0018416
26,176.115,1.51494,1.276,1.29892,0.71972,0.71213,0.72128,0.23995,1.97833,1.79112,1.53167,0.001835,0.001835,0.001835
27,181.729,1.52721,1.24217,1.27411,0.73106,0.68852,0.68367,0.19689,2.18147,1.50375,1.64716,0.0018284,0.0018284,0.0018284
