epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.46994,3.69563,3.54934,4.11445,0.00047,0.01776,0.00026,0.0001,3.7002,4.12563,4.12937,0.00064,0.00064,0.00064
2,15.5001,3.45934,2.8624,3.56607,0.00487,0.20765,0.0084,0.00375,3.43899,3.51984,3.55533,0.00129571,0.00129571,0.00129571
3,23.2635,2.86404,2.54949,2.96589,0.1181,0.09153,0.03765,0.00898,2.81646,4.74036,2.88185,0.00194706,0.00194706,0.00194706
4,31.4746,2.64421,2.31022,2.55432,0.20903,0.20219,0.09342,0.02262,2.72675,3.34659,2.80485,0.0019802,0.0019802,0.0019802
5,39.6853,2.49493,2.20637,2.41557,0.33285,0.31011,0.208,0.04928,2.69014,4.57255,2.70063,0.0019736,0.0019736,0.0019736
6,46.8877,2.36976,2.07444,2.23526,0.54272,0.44672,0.40213,0.09051,2.47248,2.80086,2.32662,0.001967,0.001967,0.001967
7,54.3166,2.29462,1.9917,2.21833,0.37562,0.40024,0.2559,0.05738,2.56587,2.36596,2.33722,0.0019604,0.0019604,0.0019604
8,61.7677,2.23015,1.87519,2.12004,0.38705,0.38388,0.34538,0.08841,2.50567,2.85648,2.29772,0.0019538,0.0019538,0.0019538
9,69.3105,2.16214,1.89173,2.06123,0.39004,0.38661,0.27978,0.05597,2.86176,2.03132,2.6684,0.0019472,0.0019472,0.0019472
10,76.9139,2.2019,1.85707,2.02617,0.62478,0.54098,0.53394,0.14026,2.27,1.95465,2.09573,0.0019406,0.0019406,0.0019406
11,84.2752,2.12586,1.75504,1.95348,0.5451,0.49727,0.43319,0.10444,2.32951,2.28408,2.11437,0.001934,0.001934,0.001934
12,91.9574,2.07788,1.72163,1.89964,0.57458,0.52217,0.48502,0.12042,2.51121,1.8056,2.32416,0.0019274,0.0019274,0.0019274
13,99.1988,2.071,1.7192,1.88477,0.39755,0.38934,0.28649,0.05641,2.77507,1.9458,2.47916,0.0019208,0.0019208,0.0019208
14,107.298,1.99531,1.64091,1.83434,0.5292,0.5888,0.48692,0.10973,2.43165,2.27113,2.22204,0.0019142,0.0019142,0.0019142
15,114.981,2.03977,1.66489,1.83904,0.5476,0.51261,0.50128,0.12053,2.37011,1.766,2.1648,0.0019076,0.0019076,0.0019076
16,122.151,1.97163,1.6355,1.78945,0.5938,0.5765,0.5632,0.1431,2.2818,2.19755,2.06533,0.001901,0.001901,0.001901
17,128.636,1.96563,1.62035,1.81175,0.54141,0.51449,0.44543,0.08799,2.48218,1.95102,2.27175,0.0018944,0.0018944,0.0018944
18,136.077,1.88656,1.61479,1.76941,0.5087,0.55328,0.47929,0.14932,2.15638,3.06078,1.96127,0.0018878,0.0018878,0.0018878
19,143.591,1.89539,1.59249,1.76225,0.60609,0.56694,0.54915,0.1394,2.2751,2.58782,2.05069,0.0018812,0.0018812,0.0018812
20,151.788,1.94341,1.6008,1.74859,0.55856,0.46175,0.41833,0.08204,2.8176,1.77502,2.47692,0.0018746,0.0018746,0.0018746
21,159.352,1.85375,1.50426,1.6769,0.4856,0.53825,0.45816,0.10164,2.43116,2.00442,2.20339,0.001868,0.001868,0.001868
22,167.87,1.87776,1.55315,1.69604,0.63158,0.55328,0.57238,0.14105,2.37186,1.69297,2.14187,0.0018614,0.0018614,0.0018614
23,174.595,1.84438,1.55446,1.67037,0.57053,0.4918,0.45484,0.09193,2.49452,2.35757,2.21226,0.0018548,0.0018548,0.0018548
24,182.501,1.82214,1.51899,1.69639,0.54337,0.53552,0.4752,0.10489,2.44249,1.89609,2.24735,0.0018482,0.0018482,0.0018482
25,189.033,1.81512,1.48583,1.64271,0.54831,0.52049,0.49596,0.09986,2.48277,2.19371,2.26424,0.0018416,0.0018416,0.0018416
26,196.261,1.80334,1.45899,1.62904,0.53891,0.56205,0.48939,0.10221,2.5238,1.8723,2.21639,0.001835,0.001835,0.001835
27,203.183,1.81096,1.46003,1.60398,0.5971,0.64344,0.59338,0.14205,2.29309,1.92476,2.00226,0.0018284,0.0018284,0.0018284
28,210.266,1.8037,1.47625,1.644,0.47742,0.4959,0.42682,0.08131,2.46778,3.82087,2.29964,0.0018218,0.0018218,0.0018218
29,217.974,1.82744,1.5208,1.65642,0.51912,0.55738,0.48131,0.11233,2.33254,2.3167,2.16179,0.0018152,0.0018152,0.0018152
30,225.742,1.7526,1.45068,1.63572,0.5803,0.56967,0.53087,0.11524,2.43031,2.5057,2.19352,0.0018086,0.0018086,0.0018086
31,232.419,1.79263,1.4277,1.58387,0.62483,0.6166,0.58987,0.13729,2.30126,2.07637,2.09332,0.001802,0.001802,0.001802
32,240.255,1.76042,1.39971,1.59287,0.64476,0.63934,0.64384,0.16472,2.37139,1.62168,2.08292,0.0017954,0.0017954,0.0017954
33,247.287,1.73884,1.4176,1.59516,0.58121,0.59973,0.52957,0.11287,2.4212,2.05921,2.15476,0.0017888,0.0017888,0.0017888
34,254.823,1.76262,1.44715,1.60159,0.58894,0.62022,0.55629,0.13377,2.31237,2.4828,2.1227,0.0017822,0.0017822,0.0017822
35,262.171,1.73627,1.41176,1.57816,0.5441,0.58607,0.5108,0.10869,2.55513,1.89461,2.37279,0.0017756,0.0017756,0.0017756
36,269.78,1.76471,1.39895,1.5767,0.65337,0.58333,0.58354,0.14265,2.44638,1.61138,2.14468,0.001769,0.001769,0.001769
37,277.015,1.71915,1.39477,1.5797,0.55288,0.59153,0.51821,0.11301,2.53198,1.63838,2.2397,0.0017624,0.0017624,0.0017624
38,284.427,1.70842,1.38185,1.57462,0.65087,0.63525,0.63844,0.14143,2.3984,1.71847,2.13002,0.0017558,0.0017558,0.0017558
39,291.942,1.68821,1.34506,1.5553,0.59124,0.59836,0.55826,0.12124,2.40043,2.13905,2.19529,0.0017492,0.0017492,0.0017492
40,299.103,1.7207,1.36105,1.55626,0.50703,0.61684,0.48017,0.10634,2.51416,2.24334,2.32199,0.0017426,0.0017426,0.0017426
41,306.65,1.72916,1.39712,1.5805,0.60879,0.68852,0.61029,0.15158,2.32703,2.19831,2.04488,0.001736,0.001736,0.001736
42,313.276,1.6897,1.33598,1.50866,0.55492,0.63661,0.55596,0.13194,2.34339,1.76576,2.12091,0.0017294,0.0017294,0.0017294
