epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5076,3.66349,3.49298,4.15379,0.00047,0.01776,0.00026,0.0001,3.70502,4.12743,4.13053,0.00064,0.00064,0.00064
2,15.4086,3.35763,2.85399,3.5423,0.00538,0.22951,0.00797,0.00303,3.40448,3.4578,3.42665,0.00129571,0.00129571,0.00129571
3,23.9201,2.82159,2.58805,2.98081,0.02955,0.02732,0.0132,0.00451,2.85835,3.83825,3.12109,0.00194706,0.00194706,0.00194706
4,31.924,2.64862,2.2998,2.61994,0.23084,0.21689,0.10019,0.02333,2.90454,3.317,2.91759,0.0019802,0.0019802,0.0019802
5,39.6585,2.49721,2.21079,2.49814,0.24126,0.20503,0.1219,0.02712,2.8152,2.74909,2.72788,0.0019736,0.0019736,0.0019736
6,47.1107,2.38847,2.11219,2.37723,0.1524,0.2623,0.10485,0.02874,2.36181,7.33437,2.38492,0.001967,0.001967,0.001967
7,54.5263,2.29587,2.00136,2.34314,0.30547,0.24317,0.15138,0.03093,2.58103,2.59327,2.53232,0.0019604,0.0019604,0.0019604
8,62.0739,2.22797,1.90999,2.23304,0.40907,0.34153,0.28152,0.06128,2.65578,3.52347,2.65245,0.0019538,0.0019538,0.0019538
9,69.8993,2.17845,1.86612,2.15,0.47421,0.44399,0.3582,0.08115,2.65123,2.07876,2.62453,0.0019472,0.0019472,0.0019472
10,77.9732,2.17643,1.83989,2.12063,0.54374,0.54781,0.50744,0.12901,2.40396,1.77382,2.27169,0.0019406,0.0019406,0.0019406
11,85.9965,2.13032,1.78024,2.05256,0.46752,0.4462,0.37322,0.07977,2.58088,2.11307,2.43886,0.001934,0.001934,0.001934
12,93.5817,2.05605,1.70491,1.98597,0.5343,0.51253,0.45821,0.09987,2.51039,2.67963,2.46847,0.0019274,0.0019274,0.0019274
13,100.716,2.07101,1.71081,1.9956,0.36721,0.46853,0.29482,0.06665,2.57796,1.97583,2.54334,0.0019208,0.0019208,0.0019208
14,108.598,2.00784,1.63266,1.935,0.5802,0.52489,0.4837,0.1085,2.47585,2.36359,2.32045,0.0019142,0.0019142,0.0019142
15,116.354,2.03498,1.65158,1.92968,0.63032,0.5929,0.56517,0.1527,2.1716,2.27673,2.07159,0.0019076,0.0019076,0.0019076
16,123.505,1.97562,1.62047,1.86146,0.50933,0.48634,0.41037,0.10212,2.33314,3.03829,2.1956,0.001901,0.001901,0.001901
17,130.07,1.95022,1.63012,1.89166,0.509,0.55601,0.49746,0.11094,2.29801,2.38365,2.16841,0.0018944,0.0018944,0.0018944
18,137.216,1.86544,1.59809,1.84703,0.4539,0.36066,0.31819,0.06358,2.738,2.04711,2.68713,0.0018878,0.0018878,0.0018878
19,145.372,1.86246,1.57058,1.84044,0.55857,0.53962,0.5142,0.12036,2.3503,1.98753,2.19318,0.0018812,0.0018812,0.0018812
20,153.719,1.91674,1.57953,1.82517,0.43146,0.49727,0.35974,0.07401,2.56915,2.05901,2.52826,0.0018746,0.0018746,0.0018746
