epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36836,3.67653,3.68513,4.13938,0.00047,0.01776,0.00026,0.0001,3.7039,4.11278,4.14106,0.00064,0.00064,0.00064
2,15.9292,3.24642,2.92716,3.50013,0.00452,0.19262,0.00355,0.00109,3.52091,3.61704,3.85214,0.00129571,0.00129571,0.00129571
3,24.15,2.67901,2.56012,2.84674,0.08003,0.04918,0.01942,0.00608,2.90105,4.32744,2.95038,0.00194706,0.00194706,0.00194706
4,32.4607,2.5638,2.38266,2.54606,0.01233,0.09563,0.00597,0.00196,3.15405,103.177,6.37077,0.0019802,0.0019802,0.0019802
5,41.8416,2.45456,2.3455,2.43624,0.33222,0.26093,0.1897,0.05677,2.32872,3.26489,2.60821,0.0019736,0.0019736,0.0019736
6,49.0526,2.37338,2.19029,2.27292,0.38387,0.38115,0.29634,0.08114,2.36439,2.73362,2.30058,0.001967,0.001967,0.001967
7,56.4161,2.30123,2.10918,2.25396,0.43048,0.47268,0.36895,0.10502,2.29632,2.43565,2.16825,0.0019604,0.0019604,0.0019604
8,64.6193,2.20896,1.96618,2.13755,0.53744,0.43716,0.40616,0.10458,2.43311,2.80009,2.19978,0.0019538,0.0019538,0.0019538
9,72.701,2.14473,1.8927,2.03617,0.49418,0.43716,0.39647,0.09221,2.58795,2.12207,2.25566,0.0019472,0.0019472,0.0019472
10,80.4581,2.18274,1.86256,2.01804,0.45994,0.43716,0.39074,0.09586,2.52888,2.0845,2.22856,0.0019406,0.0019406,0.0019406
11,88.0744,2.10716,1.81493,1.92345,0.58003,0.52829,0.51177,0.13488,2.31324,2.17933,2.06238,0.001934,0.001934,0.001934
12,95.6032,2.06046,1.74827,1.87676,0.44435,0.46977,0.37261,0.08458,2.74489,2.03173,2.43618,0.0019274,0.0019274,0.0019274
13,102.553,2.08756,1.73152,1.8755,0.39108,0.44308,0.32886,0.07566,2.69095,2.23074,2.4133,0.0019208,0.0019208,0.0019208
14,110.491,1.9936,1.68135,1.83264,0.46372,0.46448,0.40382,0.08313,2.63263,2.10213,2.3362,0.0019142,0.0019142,0.0019142
15,118.367,1.99741,1.69398,1.82315,0.48899,0.45492,0.38183,0.08685,2.47297,2.69141,2.26601,0.0019076,0.0019076,0.0019076
16,125.394,1.96077,1.69056,1.76931,0.53129,0.51503,0.49948,0.12367,2.35573,2.65122,2.17376,0.001901,0.001901,0.001901
17,131.899,1.94199,1.66107,1.78899,0.48019,0.50137,0.40625,0.07669,2.68326,1.78934,2.38412,0.0018944,0.0018944,0.0018944
18,139.274,1.86928,1.64988,1.76836,0.53381,0.54781,0.5189,0.12333,2.38444,2.81325,2.19603,0.0018878,0.0018878,0.0018878
19,146.9,1.88899,1.62966,1.75899,0.57688,0.56421,0.55098,0.13029,2.43744,2.00719,2.15121,0.0018812,0.0018812,0.0018812
20,155.125,1.90202,1.61289,1.71622,0.53427,0.47678,0.44472,0.09245,2.58283,1.81685,2.33243,0.0018746,0.0018746,0.0018746
21,162.987,1.84414,1.53589,1.67054,0.59924,0.52869,0.52287,0.10914,2.47642,1.97578,2.17756,0.001868,0.001868,0.001868
22,171.385,1.88196,1.55407,1.69786,0.53077,0.5847,0.57999,0.15091,2.25428,2.12291,2.08642,0.0018614,0.0018614,0.0018614
23,178.263,1.83471,1.60745,1.67378,0.55977,0.58366,0.55042,0.14586,2.13523,3.12037,1.95329,0.0018548,0.0018548,0.0018548
24,186.231,1.81052,1.52791,1.68405,0.53869,0.52005,0.4654,0.09234,2.51404,2.55928,2.29712,0.0018482,0.0018482,0.0018482
25,192.964,1.79764,1.48345,1.63537,0.47735,0.44809,0.41918,0.08569,2.54018,2.24699,2.3116,0.0018416,0.0018416,0.0018416
26,200.977,1.7905,1.47247,1.62604,0.5624,0.59695,0.53991,0.10877,2.43103,2.40375,2.17345,0.001835,0.001835,0.001835
27,208.539,1.80764,1.49799,1.61244,0.59607,0.63934,0.59658,0.13912,2.30812,2.07602,2.07382,0.0018284,0.0018284,0.0018284
28,216.136,1.7818,1.49723,1.6343,0.51195,0.57787,0.47246,0.10283,2.46977,2.4071,2.24444,0.0018218,0.0018218,0.0018218
29,224.8,1.76437,1.50222,1.61926,0.63017,0.61453,0.57645,0.13789,2.36343,1.94609,2.13726,0.0018152,0.0018152,0.0018152
30,233.124,1.73797,1.43991,1.62634,0.61999,0.60792,0.58833,0.12926,2.33701,2.57487,2.076,0.0018086,0.0018086,0.0018086
31,240.367,1.77026,1.43289,1.57859,0.65379,0.62978,0.64248,0.15452,2.25712,1.99661,2.03415,0.001802,0.001802,0.001802
32,248.753,1.74356,1.40881,1.58952,0.58751,0.60124,0.57743,0.14817,2.35604,1.87482,2.10769,0.0017954,0.0017954,0.0017954
33,256.205,1.72315,1.41862,1.59632,0.67344,0.62542,0.64441,0.1597,2.28163,1.87737,2.07081,0.0017888,0.0017888,0.0017888
34,264.286,1.75842,1.44383,1.59211,0.57778,0.59973,0.51978,0.11859,2.40082,2.35126,2.16564,0.0017822,0.0017822,0.0017822
35,272.177,1.72396,1.44017,1.5792,0.52296,0.53962,0.47678,0.09837,2.44763,2.59416,2.25182,0.0017756,0.0017756,0.0017756
36,280.003,1.76579,1.41575,1.59246,0.57645,0.55191,0.50982,0.11652,2.56735,1.75426,2.23754,0.001769,0.001769,0.001769
37,287.198,1.70991,1.43524,1.57833,0.59005,0.61202,0.57264,0.12712,2.31132,2.24886,2.05393,0.0017624,0.0017624,0.0017624
