epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1689,3.49134,3.53052,2.77089,0.00497,0.21175,0.00499,0.00162,3.47051,3.84967,2.33757,0.00064,0.00064,0.00064
2,20.1647,3.1919,3.15617,2.36997,0.00551,0.23497,0.00905,0.00346,3.41618,3.76664,2.32909,0.00129571,0.00129571,0.00129571
3,27.9736,2.62951,2.64396,1.96649,0.26061,0.03142,0.02736,0.00706,3.1219,4.5213,2.78704,0.00194706,0.00194706,0.00194706
4,35.6111,2.43581,2.4041,1.78353,0.07342,0.06284,0.02355,0.00665,2.86077,3.35144,2.24503,0.0019802,0.0019802,0.0019802
5,43.3247,2.30753,2.35135,1.71561,0.31997,0.32514,0.26443,0.06703,2.49332,2.72818,1.90857,0.0019736,0.0019736,0.0019736
6,51.0155,2.18741,2.18656,1.66391,0.38721,0.40574,0.30193,0.07594,2.46517,2.45628,1.87494,0.001967,0.001967,0.001967
7,58.5778,2.09749,2.06235,1.64896,0.48777,0.41889,0.38475,0.08951,2.49062,2.37004,1.92367,0.0019604,0.0019604,0.0019604
8,66.0352,2.01314,1.94723,1.60275,0.4666,0.46858,0.38446,0.08896,2.3903,2.53495,1.91801,0.0019538,0.0019538,0.0019538
9,74.3976,1.97183,1.9016,1.55674,0.41153,0.43183,0.32155,0.07127,2.461,2.41257,1.92129,0.0019472,0.0019472,0.0019472
10,82.1249,1.99766,1.86221,1.55289,0.57229,0.50137,0.49631,0.12632,2.2987,2.62155,1.80452,0.0019406,0.0019406,0.0019406
11,90.2271,1.9433,1.7788,1.51501,0.5246,0.53969,0.46147,0.11157,2.42012,2.2072,1.84654,0.001934,0.001934,0.001934
12,97.7527,1.89925,1.73014,1.49639,0.47336,0.52596,0.44311,0.09919,2.3735,2.58341,1.91434,0.0019274,0.0019274,0.0019274
13,105.263,1.89682,1.70122,1.48597,0.49162,0.5,0.42496,0.09918,2.39118,2.24536,1.81766,0.0019208,0.0019208,0.0019208
14,113.316,1.84989,1.65853,1.46161,0.52284,0.485,0.45287,0.09955,2.38855,2.77751,1.84373,0.0019142,0.0019142,0.0019142
15,121.409,1.87958,1.65855,1.46778,0.58426,0.59426,0.5414,0.13567,2.26921,2.05127,1.7754,0.0019076,0.0019076,0.0019076
16,128.703,1.86832,1.6338,1.46069,0.54606,0.5308,0.47321,0.11383,2.29518,2.48475,1.83774,0.001901,0.001901,0.001901
17,136.77,1.85614,1.62121,1.47261,0.56217,0.56011,0.49767,0.1096,2.33973,2.70037,1.8801,0.0018944,0.0018944,0.0018944
18,143.879,1.78199,1.56602,1.45748,0.54173,0.54424,0.4796,0.10597,2.45065,2.08647,1.88896,0.0018878,0.0018878,0.0018878
19,151.062,1.79062,1.57698,1.4387,0.63463,0.53627,0.55364,0.13559,2.40506,1.96822,1.88959,0.0018812,0.0018812,0.0018812
20,159.054,1.83646,1.57996,1.43771,0.54211,0.52869,0.47713,0.09855,2.56899,2.01699,1.94034,0.0018746,0.0018746,0.0018746
21,166.83,1.76795,1.51215,1.38679,0.49378,0.52049,0.42126,0.09111,2.47296,2.34823,1.93069,0.001868,0.001868,0.001868
22,175.518,1.79948,1.54671,1.42052,0.57162,0.60383,0.53849,0.11847,2.43111,1.88261,1.82212,0.0018614,0.0018614,0.0018614
23,182.533,1.7694,1.52275,1.39841,0.58518,0.5955,0.55666,0.12701,2.42747,1.95496,1.87245,0.0018548,0.0018548,0.0018548
24,190.219,1.7373,1.47057,1.40702,0.57805,0.57377,0.53351,0.10963,2.56334,1.72943,1.9843,0.0018482,0.0018482,0.0018482
25,198.381,1.74152,1.45365,1.38886,0.54158,0.56694,0.52034,0.10949,2.45026,2.13047,1.86355,0.0018416,0.0018416,0.0018416
26,205.571,1.74616,1.44676,1.38335,0.5969,0.60246,0.55167,0.13042,2.40061,1.79966,1.86442,0.001835,0.001835,0.001835
27,212.819,1.76974,1.45883,1.38224,0.65235,0.64087,0.6119,0.14803,2.35112,1.76778,1.77249,0.0018284,0.0018284,0.0018284
28,220.546,1.73962,1.47111,1.39287,0.51802,0.55795,0.44916,0.09311,2.55634,2.32888,1.97635,0.0018218,0.0018218,0.0018218
29,228.134,1.72868,1.46469,1.37634,0.56956,0.59833,0.52578,0.10961,2.52364,2.1159,1.94036,0.0018152,0.0018152,0.0018152
30,235.942,1.69937,1.39735,1.3746,0.61773,0.60489,0.58691,0.1263,2.44984,2.30888,1.89695,0.0018086,0.0018086,0.0018086
31,244.296,1.73199,1.41378,1.37383,0.60244,0.59426,0.57301,0.13104,2.44537,1.98095,1.90229,0.001802,0.001802,0.001802
32,252.385,1.70725,1.39418,1.36047,0.58221,0.64071,0.59652,0.14185,2.38709,2.09828,1.83177,0.0017954,0.0017954,0.0017954
33,260.051,1.69069,1.40906,1.36372,0.58814,0.57923,0.57938,0.12289,2.49556,1.88726,1.86352,0.0017888,0.0017888,0.0017888
34,268.182,1.72318,1.43206,1.36246,0.59221,0.61106,0.52544,0.1163,2.42176,2.44488,1.86016,0.0017822,0.0017822,0.0017822
35,275.193,1.67787,1.39708,1.34732,0.59194,0.60929,0.57611,0.12196,2.57038,1.87118,1.94462,0.0017756,0.0017756,0.0017756
36,282.841,1.72105,1.38834,1.36612,0.58284,0.5929,0.55465,0.11783,2.5741,1.86474,1.93344,0.001769,0.001769,0.001769
37,290.625,1.68779,1.38635,1.35447,0.58714,0.56967,0.54568,0.11499,2.62072,1.75498,1.99605,0.0017624,0.0017624,0.0017624
38,297.713,1.66055,1.36912,1.3502,0.63064,0.60646,0.59452,0.13049,2.54471,1.69925,1.9316,0.0017558,0.0017558,0.0017558
39,305.591,1.65998,1.35059,1.3446,0.52888,0.55464,0.46263,0.08895,2.59868,2.09823,2.02618,0.0017492,0.0017492,0.0017492
40,313.308,1.69254,1.3651,1.34402,0.56001,0.58423,0.49707,0.09872,2.59324,2.10072,1.97898,0.0017426,0.0017426,0.0017426
41,320.867,1.69068,1.38957,1.34864,0.57134,0.61545,0.56469,0.12315,2.41701,3.56238,1.80769,0.001736,0.001736,0.001736
42,329.061,1.64586,1.34838,1.32065,0.54611,0.60109,0.5161,0.11437,2.46888,2.7769,1.88755,0.0017294,0.0017294,0.0017294
43,336.21,1.66634,1.35068,1.33793,0.61979,0.65695,0.62806,0.15501,2.34413,2.17273,1.82022,0.0017228,0.0017228,0.0017228
44,344.862,1.67356,1.38234,1.35648,0.57817,0.61042,0.56083,0.11312,2.61079,1.70302,2.0058,0.0017162,0.0017162,0.0017162
45,352.212,1.65707,1.32351,1.34647,0.63355,0.68716,0.6468,0.16015,2.37152,1.81678,1.83272,0.0017096,0.0017096,0.0017096
46,359.406,1.6947,1.33475,1.34471,0.66647,0.67896,0.66896,0.19267,2.20602,2.41158,1.6241,0.001703,0.001703,0.001703
47,366.983,1.69005,1.35846,1.35578,0.63313,0.68852,0.6482,0.14762,2.45275,1.84648,1.85632,0.0016964,0.0016964,0.0016964
48,375.173,1.68254,1.30348,1.34424,0.61338,0.64754,0.61565,0.13161,2.49924,2.06322,1.8936,0.0016898,0.0016898,0.0016898
49,382.832,1.64452,1.30294,1.31373,0.55495,0.5724,0.5028,0.10256,2.62957,1.94884,2.06272,0.0016832,0.0016832,0.0016832
50,391.21,1.61564,1.31294,1.32379,0.50585,0.57514,0.4684,0.09393,2.66854,1.85974,2.09119,0.0016766,0.0016766,0.0016766
51,399.819,1.65216,1.29109,1.31422,0.63209,0.67896,0.65109,0.13836,2.36369,2.75148,1.81449,0.00167,0.00167,0.00167
52,406.811,1.64026,1.31289,1.30991,0.67291,0.66328,0.63131,0.14451,2.39976,1.94656,1.80283,0.0016634,0.0016634,0.0016634
53,414.027,1.63282,1.34072,1.33047,0.55307,0.67213,0.56828,0.12566,2.49227,1.73607,1.89628,0.0016568,0.0016568,0.0016568
54,421.184,1.61146,1.30573,1.3101,0.5685,0.64344,0.55196,0.10721,2.665,2.15188,2.01558,0.0016502,0.0016502,0.0016502
55,428.371,1.63417,1.31111,1.32009,0.56335,0.64685,0.56028,0.11665,2.54297,1.89404,1.94103,0.0016436,0.0016436,0.0016436
56,435.867,1.63153,1.27641,1.31317,0.61269,0.69369,0.61914,0.14058,2.58574,1.63461,1.9782,0.001637,0.001637,0.001637
57,443.059,1.65054,1.27636,1.32646,0.67625,0.72541,0.67007,0.16866,2.39654,2.14298,1.78712,0.0016304,0.0016304,0.0016304
58,451.212,1.62191,1.26442,1.30781,0.65549,0.70961,0.68543,0.17868,2.38523,1.87909,1.79085,0.0016238,0.0016238,0.0016238
59,458.351,1.628,1.29102,1.32696,0.65403,0.69809,0.67887,0.15413,2.46301,1.9218,1.85067,0.0016172,0.0016172,0.0016172
60,465.531,1.58758,1.22242,1.30056,0.58649,0.62973,0.53,0.10791,2.69684,1.76226,2.0177,0.0016106,0.0016106,0.0016106
61,474.215,1.62529,1.25497,1.31099,0.61028,0.62978,0.5964,0.11204,2.72261,1.8133,2.06257,0.001604,0.001604,0.001604
62,481.839,1.60414,1.24641,1.31088,0.64287,0.67623,0.63744,0.1321,2.58302,1.88963,1.93331,0.0015974,0.0015974,0.0015974
63,489.255,1.62189,1.26013,1.3174,0.58534,0.63115,0.54735,0.10147,2.69851,2.28322,2.01036,0.0015908,0.0015908,0.0015908
64,497.245,1.60227,1.2705,1.29936,0.58522,0.65574,0.56059,0.10469,2.57956,2.40702,1.92668,0.0015842,0.0015842,0.0015842
65,505.473,1.61568,1.24243,1.29101,0.66643,0.68443,0.66379,0.15043,2.47316,1.86957,1.81835,0.0015776,0.0015776,0.0015776
66,512.783,1.61158,1.27962,1.29153,0.55744,0.62292,0.53247,0.10012,2.74111,1.70427,2.08546,0.001571,0.001571,0.001571
67,520.469,1.59405,1.24039,1.28842,0.62266,0.6735,0.59804,0.12662,2.6019,1.76864,1.9169,0.0015644,0.0015644,0.0015644
68,529.066,1.61453,1.26036,1.29984,0.60212,0.68443,0.61747,0.13452,2.57076,1.5842,1.88174,0.0015578,0.0015578,0.0015578
69,536.702,1.614,1.25293,1.30622,0.6299,0.69262,0.64807,0.13564,2.61273,1.98198,1.96292,0.0015512,0.0015512,0.0015512
70,544.251,1.62362,1.22042,1.3053,0.54938,0.60383,0.51118,0.09495,2.69754,2.00489,2.0694,0.0015446,0.0015446,0.0015446
71,551.815,1.58376,1.23369,1.29076,0.56728,0.63661,0.55338,0.10921,2.63416,1.81766,1.9493,0.001538,0.001538,0.001538
72,559.049,1.57325,1.23065,1.30468,0.61709,0.67368,0.61191,0.12328,2.59563,1.68886,1.92748,0.0015314,0.0015314,0.0015314
73,566.303,1.58617,1.22069,1.30952,0.66299,0.69262,0.68275,0.16603,2.4341,1.58567,1.76937,0.0015248,0.0015248,0.0015248
74,573.425,1.60289,1.2462,1.30954,0.66072,0.67623,0.66897,0.14976,2.4395,1.97068,1.90486,0.0015182,0.0015182,0.0015182
75,581.584,1.62189,1.25054,1.29933,0.533,0.63388,0.55035,0.10928,2.60867,1.92549,1.96225,0.0015116,0.0015116,0.0015116
76,589.892,1.63469,1.23004,1.30358,0.65099,0.70585,0.67896,0.15802,2.39624,2.02688,1.76377,0.001505,0.001505,0.001505
77,597.12,1.60285,1.21159,1.27392,0.64189,0.71311,0.66648,0.14442,2.54248,1.67294,1.87575,0.0014984,0.0014984,0.0014984
78,604.485,1.61888,1.19256,1.29431,0.63826,0.67974,0.63576,0.13805,2.51502,1.80417,1.85985,0.0014918,0.0014918,0.0014918
79,612.731,1.57924,1.25235,1.28609,0.56658,0.62022,0.56376,0.1122,2.6698,1.67254,1.96397,0.0014852,0.0014852,0.0014852
80,620.238,1.58499,1.22671,1.29002,0.63778,0.70765,0.66356,0.14351,2.49915,1.51998,1.86463,0.0014786,0.0014786,0.0014786
81,627.751,1.57927,1.22742,1.28002,0.66214,0.73626,0.69454,0.15375,2.46691,1.9831,1.79915,0.001472,0.001472,0.001472
82,635.439,1.56775,1.18736,1.26923,0.59851,0.65984,0.58176,0.12079,2.67904,1.71518,1.98168,0.0014654,0.0014654,0.0014654
83,644.227,1.5819,1.2051,1.28533,0.69388,0.76485,0.73346,0.18684,2.28239,1.83686,1.68235,0.0014588,0.0014588,0.0014588
84,651.65,1.5361,1.16699,1.26766,0.70752,0.70719,0.70353,0.17422,2.38604,1.56934,1.78561,0.0014522,0.0014522,0.0014522
85,660.329,1.58072,1.20728,1.27682,0.59737,0.59836,0.5439,0.10694,2.58036,1.97271,1.94762,0.0014456,0.0014456,0.0014456
86,667.492,1.57477,1.2094,1.27053,0.58275,0.63918,0.55153,0.10261,2.70447,1.88018,2.03244,0.001439,0.001439,0.001439
87,675.625,1.60946,1.21296,1.28666,0.67328,0.7623,0.71135,0.16162,2.48017,1.691,1.82325,0.0014324,0.0014324,0.0014324
88,682.759,1.57583,1.18542,1.28276,0.67996,0.7053,0.69218,0.1666,2.39047,1.68437,1.78493,0.0014258,0.0014258,0.0014258
89,689.91,1.57245,1.20024,1.27658,0.67297,0.7459,0.71422,0.18469,2.36489,1.70244,1.72327,0.0014192,0.0014192,0.0014192
90,697.132,1.57458,1.19113,1.2636,0.62374,0.68716,0.64854,0.1378,2.48143,2.23454,1.81556,0.0014126,0.0014126,0.0014126
91,705.23,1.55487,1.19063,1.25494,0.61636,0.66803,0.61512,0.1237,2.65871,1.66308,1.95835,0.001406,0.001406,0.001406
92,712.762,1.56443,1.19694,1.26621,0.61054,0.64071,0.5893,0.11458,2.75623,1.55406,2.02777,0.0013994,0.0013994,0.0013994
93,719.857,1.54055,1.17011,1.27148,0.64595,0.70286,0.65065,0.13623,2.5263,1.69685,1.89003,0.0013928,0.0013928,0.0013928
94,727.982,1.55769,1.2039,1.27946,0.61298,0.69671,0.61515,0.1327,2.51405,1.77117,1.82637,0.0013862,0.0013862,0.0013862
95,735.798,1.52243,1.17711,1.26544,0.62826,0.65301,0.60122,0.11966,2.54084,1.94513,1.92509,0.0013796,0.0013796,0.0013796
96,743.883,1.56875,1.20001,1.28055,0.62028,0.68063,0.61407,0.12326,2.57416,1.90176,1.95997,0.001373,0.001373,0.001373
97,751.564,1.57445,1.1845,1.27162,0.5903,0.64617,0.5747,0.11267,2.68181,1.88236,1.99598,0.0013664,0.0013664,0.0013664
98,759.053,1.55316,1.15993,1.26599,0.62239,0.68989,0.62099,0.12487,2.58972,2.0652,1.91722,0.0013598,0.0013598,0.0013598
99,767.114,1.53135,1.17824,1.25845,0.67262,0.75,0.70774,0.17267,2.38271,2.41478,1.74485,0.0013532,0.0013532,0.0013532
100,775.36,1.56511,1.17411,1.26992,0.68115,0.70355,0.68818,0.15777,2.47419,1.87632,1.81387,0.0013466,0.0013466,0.0013466
101,783.625,1.57923,1.22099,1.27868,0.71394,0.76776,0.75265,0.21567,2.26646,1.64821,1.65125,0.00134,0.00134,0.00134
102,792.295,1.51853,1.15873,1.24692,0.66783,0.76639,0.72203,0.17852,2.39755,1.66622,1.75172,0.0013334,0.0013334,0.0013334
103,799.61,1.54584,1.18453,1.25109,0.67001,0.70175,0.66978,0.13554,2.51229,2.19876,1.88459,0.0013268,0.0013268,0.0013268
104,807.221,1.54281,1.1586,1.25303,0.66235,0.68337,0.6442,0.13649,2.58648,1.79213,1.88417,0.0013202,0.0013202,0.0013202
