epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.05422,3.7265,3.65026,4.19801,0.00048,0.01776,0.00026,9e-05,3.69878,4.10604,4.14156,0.00064,0.00064,0.00064
2,14.8551,3.38876,3.01366,3.64486,0.00442,0.18852,0.00268,0.00092,3.49063,3.64052,3.86285,0.00129571,0.00129571,0.00129571
3,22.6147,2.75544,2.64386,2.99133,0.25602,0.08333,0.04819,0.01139,2.77301,3.43433,3.02541,0.00194706,0.00194706,0.00194706
4,29.7847,2.56634,2.3807,2.59096,0.0639,0.04645,0.015,0.00359,3.11818,4.37108,3.68305,0.0019802,0.0019802,0.0019802
5,38.5097,2.44531,2.30991,2.44206,0.22466,0.22131,0.11142,0.02523,2.62266,3.04904,2.74995,0.0019736,0.0019736,0.0019736
6,45.6406,2.36782,2.17293,2.27631,0.41275,0.39754,0.31844,0.08357,2.42822,2.87753,2.27621,0.001967,0.001967,0.001967
7,53.1142,2.31236,2.08477,2.25571,0.27945,0.37141,0.24444,0.0659,2.43464,3.6,2.19284,0.0019604,0.0019604,0.0019604
8,60.1521,2.25071,1.98771,2.15775,0.36571,0.36885,0.2947,0.06807,2.60791,3.31395,2.40134,0.0019538,0.0019538,0.0019538
9,67.6762,2.18026,1.91676,2.0608,0.51568,0.47131,0.43666,0.10588,2.45876,2.43391,2.16483,0.0019472,0.0019472,0.0019472
10,75.1839,2.19296,1.9217,2.03117,0.57757,0.53142,0.50318,0.13294,2.3398,2.19347,2.06209,0.0019406,0.0019406,0.0019406
11,82.5999,2.13696,1.8368,1.9574,0.56154,0.54781,0.52538,0.15228,2.27012,2.17703,1.97609,0.001934,0.001934,0.001934
12,89.9904,2.06955,1.78094,1.88333,0.47901,0.47131,0.39091,0.08493,2.69134,1.93123,2.30224,0.0019274,0.0019274,0.0019274
13,97.1177,2.06919,1.75771,1.86992,0.43424,0.43725,0.3566,0.06732,2.57115,2.16952,2.25966,0.0019208,0.0019208,0.0019208
14,105.085,1.98618,1.69122,1.83053,0.4652,0.46995,0.41027,0.07942,2.57757,2.11938,2.23638,0.0019142,0.0019142,0.0019142
15,112.734,2.01137,1.71519,1.82133,0.43598,0.51913,0.37502,0.08629,2.44484,2.36189,2.21271,0.0019076,0.0019076,0.0019076
16,119.891,1.97292,1.69478,1.76879,0.46,0.44945,0.35933,0.09365,2.33741,3.77978,2.08643,0.001901,0.001901,0.001901
17,126.291,1.97203,1.72361,1.79887,0.33746,0.37022,0.22419,0.04495,2.75597,2.01206,2.35193,0.0018944,0.0018944,0.0018944
18,133.59,1.89885,1.65174,1.76083,0.5254,0.49317,0.43803,0.10222,2.53557,2.1347,2.21619,0.0018878,0.0018878,0.0018878
19,140.853,1.89311,1.63925,1.75119,0.64874,0.55464,0.55856,0.13406,2.33464,3.06306,2.04736,0.0018812,0.0018812,0.0018812
20,149.103,1.92761,1.63615,1.73476,0.5985,0.54781,0.52156,0.1138,2.41128,2.02937,2.1081,0.0018746,0.0018746,0.0018746
21,156.779,1.85793,1.52636,1.66873,0.55334,0.55003,0.47153,0.09824,2.46982,2.31547,2.12494,0.001868,0.001868,0.001868
22,165.216,1.88173,1.57177,1.69251,0.67756,0.55738,0.58243,0.13081,2.46299,1.93618,2.18254,0.0018614,0.0018614,0.0018614
23,172.028,1.84623,1.5717,1.6536,0.59599,0.51639,0.50143,0.11523,2.44358,1.79675,2.10734,0.0018548,0.0018548,0.0018548
24,180.046,1.82158,1.52555,1.68661,0.60744,0.5847,0.55525,0.1293,2.42393,2.33835,2.07927,0.0018482,0.0018482,0.0018482
25,186.581,1.81971,1.51267,1.65088,0.58806,0.57336,0.54081,0.11662,2.40852,2.33072,2.11746,0.0018416,0.0018416,0.0018416
26,193.942,1.81639,1.4971,1.63337,0.48502,0.55455,0.48235,0.1019,2.54383,2.23017,2.23531,0.001835,0.001835,0.001835
27,200.799,1.82388,1.49916,1.61901,0.66562,0.62818,0.646,0.15673,2.24611,2.3728,1.99802,0.0018284,0.0018284,0.0018284
28,207.74,1.81164,1.49239,1.63284,0.52891,0.51639,0.46992,0.1056,2.51292,2.30589,2.21568,0.0018218,0.0018218,0.0018218
29,215.649,1.81884,1.54057,1.63517,0.58265,0.55874,0.49482,0.11898,2.34075,2.42672,2.05066,0.0018152,0.0018152,0.0018152
30,223.382,1.76624,1.45342,1.62646,0.63902,0.60792,0.59677,0.13298,2.37799,2.35884,2.10284,0.0018086,0.0018086,0.0018086
31,230.442,1.79937,1.44248,1.58255,0.62451,0.64755,0.60671,0.14034,2.35197,2.09129,2.05443,0.001802,0.001802,0.001802
32,237.94,1.7683,1.41577,1.58715,0.63896,0.61202,0.62054,0.14432,2.38645,1.96993,2.121,0.0017954,0.0017954,0.0017954
33,245.165,1.7437,1.43252,1.58086,0.61589,0.59153,0.58593,0.13995,2.35193,2.31129,2.06655,0.0017888,0.0017888,0.0017888
34,252.56,1.79661,1.44355,1.59417,0.48784,0.54393,0.46615,0.10533,2.6345,2.02533,2.34074,0.0017822,0.0017822,0.0017822
35,259.975,1.74348,1.44508,1.58219,0.55092,0.53689,0.47692,0.09309,2.53637,2.17826,2.28534,0.0017756,0.0017756,0.0017756
36,267.543,1.78512,1.43379,1.59424,0.56997,0.58304,0.53478,0.12633,2.37534,2.10498,2.11014,0.001769,0.001769,0.001769
37,274.458,1.72923,1.44676,1.57057,0.62104,0.69536,0.62953,0.16564,2.28125,1.84679,1.93486,0.0017624,0.0017624,0.0017624
38,281.722,1.71993,1.41618,1.56792,0.63634,0.67889,0.658,0.16262,2.28211,2.17771,1.98063,0.0017558,0.0017558,0.0017558
39,289.651,1.698,1.37518,1.53797,0.58183,0.60383,0.55232,0.13516,2.30223,2.24778,2.02807,0.0017492,0.0017492,0.0017492
40,296.615,1.74385,1.38587,1.55072,0.49827,0.5264,0.42916,0.08662,2.60664,2.38552,2.32779,0.0017426,0.0017426,0.0017426
41,304.166,1.73682,1.421,1.56545,0.57524,0.57104,0.50998,0.10523,2.48915,2.93958,2.11257,0.001736,0.001736,0.001736
42,310.343,1.70258,1.35841,1.51644,0.58002,0.59699,0.53698,0.12034,2.40528,2.51148,2.13842,0.0017294,0.0017294,0.0017294
43,318.53,1.72001,1.38932,1.54446,0.62955,0.65164,0.63427,0.15598,2.41987,2.14337,2.09913,0.0017228,0.0017228,0.0017228
44,326.73,1.73148,1.39615,1.56753,0.59985,0.61028,0.54623,0.11679,2.38261,2.1633,2.03793,0.0017162,0.0017162,0.0017162
45,333.603,1.69826,1.36643,1.54954,0.58304,0.62295,0.58055,0.13204,2.44471,2.22588,2.19257,0.0017096,0.0017096,0.0017096
46,340.294,1.73682,1.37096,1.53721,0.60407,0.60929,0.55863,0.1191,2.53933,1.97342,2.14309,0.001703,0.001703,0.001703
47,348.382,1.72526,1.40539,1.56498,0.63679,0.6694,0.66538,0.16603,2.36643,1.76202,2.00529,0.0016964,0.0016964,0.0016964
48,355.997,1.7062,1.35593,1.54327,0.56506,0.64891,0.56596,0.14165,2.35522,1.85311,2.07288,0.0016898,0.0016898,0.0016898
49,363.477,1.69277,1.34572,1.51707,0.60114,0.56209,0.54968,0.11019,2.48483,2.18616,2.19305,0.0016832,0.0016832,0.0016832
50,371.343,1.65589,1.38042,1.52698,0.55457,0.54098,0.47596,0.08731,2.59189,2.83375,2.27329,0.0016766,0.0016766,0.0016766
51,378.567,1.68094,1.32696,1.49983,0.62692,0.65437,0.62647,0.15433,2.23308,2.38022,1.9953,0.00167,0.00167,0.00167
52,386.18,1.68565,1.32891,1.49418,0.59834,0.6653,0.59227,0.13868,2.33966,2.48057,2.01003,0.0016634,0.0016634,0.0016634
