epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.50364,3.67835,3.5724,4.15681,0.00047,0.01776,0.00025,9e-05,3.7049,4.12858,4.14676,0.00064,0.00064,0.00064
2,15.4336,3.34573,2.92911,3.64797,0.0042,0.17896,0.00289,0.00094,3.52131,3.61589,3.86004,0.00129571,0.00129571,0.00129571
3,23.5387,2.73915,2.5816,2.97455,0.00803,0.31557,0.00634,0.00213,2.81146,4.75797,3.15322,0.00194706,0.00194706,0.00194706
4,31.457,2.55887,2.33986,2.53046,0.03475,0.14344,0.01528,0.00448,2.95792,13.6706,3.1311,0.0019802,0.0019802,0.0019802
5,39.5133,2.43423,2.25294,2.39714,0.27525,0.21858,0.12085,0.02451,2.73568,2.52878,2.87,0.0019736,0.0019736,0.0019736
6,46.8647,2.3645,2.14352,2.24886,0.24673,0.34052,0.20931,0.04777,2.50596,2.57586,2.39583,0.001967,0.001967,0.001967
7,54.3664,2.28337,2.04685,2.18782,0.4805,0.43169,0.39775,0.11382,2.3879,2.11897,2.16425,0.0019604,0.0019604,0.0019604
8,61.5088,2.23093,1.96355,2.11063,0.36572,0.30601,0.26169,0.0534,2.63375,3.71763,2.42289,0.0019538,0.0019538,0.0019538
9,69.1818,2.15824,1.93941,2.02306,0.61541,0.46175,0.48293,0.12818,2.37061,2.7143,2.12003,0.0019472,0.0019472,0.0019472
10,76.4657,2.19684,1.90916,2.0084,0.5434,0.53005,0.49713,0.15947,2.21776,2.6209,1.99489,0.0019406,0.0019406,0.0019406
11,83.8888,2.11997,1.85437,1.92409,0.43884,0.41667,0.38275,0.1332,2.2515,2.87966,1.96611,0.001934,0.001934,0.001934
12,91.3787,2.0938,1.8021,1.86114,0.45744,0.48497,0.40159,0.08915,2.61024,2.20684,2.22703,0.0019274,0.0019274,0.0019274
13,98.3737,2.07541,1.74875,1.84193,0.52674,0.47814,0.44104,0.09868,2.67752,1.85259,2.294,0.0019208,0.0019208,0.0019208
14,106.338,2.00063,1.69703,1.81613,0.57473,0.53552,0.50248,0.10451,2.53159,1.8979,2.18046,0.0019142,0.0019142,0.0019142
15,114.051,2.01811,1.71265,1.80361,0.52313,0.48706,0.45027,0.11086,2.36762,2.21181,2.12566,0.0019076,0.0019076,0.0019076
16,121.19,1.95673,1.69427,1.74596,0.47498,0.50549,0.43306,0.1057,2.25005,3.3238,2.04612,0.001901,0.001901,0.001901
17,127.799,1.94249,1.66741,1.77134,0.55333,0.47678,0.46507,0.09769,2.57122,1.94479,2.18968,0.0018944,0.0018944,0.0018944
18,135.175,1.88276,1.61131,1.73275,0.59803,0.54372,0.52879,0.12163,2.44612,1.99866,2.15178,0.0018878,0.0018878,0.0018878
19,142.522,1.88567,1.62301,1.73316,0.65672,0.60656,0.62073,0.16731,2.26305,2.16635,2.00025,0.0018812,0.0018812,0.0018812
20,150.85,1.93188,1.62973,1.7199,0.55389,0.51093,0.47397,0.10426,2.48435,1.95845,2.13252,0.0018746,0.0018746,0.0018746
21,158.525,1.84851,1.53927,1.6595,0.55223,0.5888,0.52601,0.11735,2.36668,2.261,2.09868,0.001868,0.001868,0.001868
22,167.065,1.88074,1.55797,1.67398,0.64651,0.59973,0.61764,0.16143,2.36089,1.71452,2.0285,0.0018614,0.0018614,0.0018614
23,173.876,1.83822,1.56506,1.64173,0.62017,0.59109,0.56012,0.13515,2.32466,2.09593,2.05191,0.0018548,0.0018548,0.0018548
24,181.583,1.82216,1.5179,1.67885,0.56221,0.51503,0.47632,0.09278,2.60692,1.97333,2.2819,0.0018482,0.0018482,0.0018482
25,188.095,1.82682,1.4859,1.63819,0.57027,0.51639,0.48343,0.0979,2.50948,2.83897,2.26662,0.0018416,0.0018416,0.0018416
26,195.334,1.80706,1.48477,1.61913,0.56975,0.53279,0.50867,0.10503,2.36282,2.31862,2.12426,0.001835,0.001835,0.001835
27,202.519,1.81079,1.48799,1.60632,0.66046,0.61475,0.61845,0.14816,2.24499,2.30764,1.99489,0.0018284,0.0018284,0.0018284
28,209.442,1.79987,1.48248,1.61474,0.51664,0.51366,0.4626,0.102,2.53152,2.36618,2.3037,0.0018218,0.0018218,0.0018218
29,217.316,1.77108,1.49444,1.60855,0.55755,0.5123,0.48112,0.09919,2.436,2.35832,2.14924,0.0018152,0.0018152,0.0018152
30,224.839,1.74844,1.44365,1.61404,0.54299,0.49863,0.42116,0.07923,2.69307,1.86535,2.33877,0.0018086,0.0018086,0.0018086
31,232.936,1.78637,1.447,1.58359,0.56518,0.55191,0.52984,0.11939,2.36677,1.84028,2.10547,0.001802,0.001802,0.001802
32,240.299,1.76415,1.42555,1.58784,0.56333,0.59039,0.54705,0.12762,2.43313,2.10384,2.16678,0.0017954,0.0017954,0.0017954
33,247.649,1.74679,1.43912,1.58207,0.62237,0.58333,0.5874,0.13007,2.4242,2.18022,2.17091,0.0017888,0.0017888,0.0017888
34,254.857,1.77338,1.44203,1.58247,0.54113,0.54645,0.46556,0.10301,2.43063,2.67797,2.14495,0.0017822,0.0017822,0.0017822
35,262.275,1.73103,1.42832,1.56837,0.59623,0.55071,0.50967,0.10774,2.46201,2.07888,2.20211,0.0017756,0.0017756,0.0017756
36,269.791,1.77585,1.40012,1.5761,0.67091,0.64617,0.67665,0.17631,2.31683,1.62138,2.01874,0.001769,0.001769,0.001769
37,276.986,1.72715,1.44187,1.57592,0.58408,0.60109,0.55612,0.12765,2.42767,1.77627,2.06421,0.0017624,0.0017624,0.0017624
38,284.12,1.71373,1.4026,1.56596,0.6282,0.68093,0.64331,0.14931,2.36198,1.8445,2.05342,0.0017558,0.0017558,0.0017558
39,291.969,1.70503,1.38361,1.54691,0.64247,0.57923,0.57984,0.1394,2.3461,2.01699,2.11511,0.0017492,0.0017492,0.0017492
40,299.116,1.73717,1.39981,1.55468,0.58793,0.63738,0.57304,0.12171,2.39287,2.88515,2.15828,0.0017426,0.0017426,0.0017426
41,306.269,1.73279,1.4155,1.56967,0.6174,0.61284,0.57032,0.14753,2.29307,3.10022,1.95909,0.001736,0.001736,0.001736
