epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.53143,3.71573,3.62376,4.17421,0.00047,0.01776,0.00025,9e-05,3.70796,4.10972,4.14872,0.00064,0.00064,0.00064
2,15.4688,3.49863,2.94409,3.59362,0.00237,0.10109,0.00131,0.00053,3.65077,3.73059,4.06534,0.00129571,0.00129571,0.00129571
3,23.56,2.89223,2.63631,2.89915,0.03688,0.02186,0.00593,0.00158,2.99793,7.17097,3.04301,0.00194706,0.00194706,0.00194706
4,31.4048,2.62599,2.40479,2.54247,0.284,0.1694,0.12032,0.03546,2.51383,4.42488,2.61041,0.0019802,0.0019802,0.0019802
5,39.3819,2.50889,2.34674,2.41386,0.28008,0.21858,0.14533,0.03939,2.57683,3.13332,2.61838,0.0019736,0.0019736,0.0019736
6,46.6197,2.39254,2.20381,2.2462,0.47542,0.44126,0.3635,0.09982,2.30159,2.51898,2.17921,0.001967,0.001967,0.001967
7,53.895,2.29564,2.08042,2.21228,0.36051,0.36202,0.24463,0.06191,2.41166,2.62842,2.20608,0.0019604,0.0019604,0.0019604
8,61.2761,2.22419,1.95064,2.0975,0.30758,0.39324,0.27722,0.06687,2.60832,2.74687,2.3255,0.0019538,0.0019538,0.0019538
9,69.0274,2.1615,1.90269,2.02933,0.43822,0.46175,0.39966,0.09245,2.49063,2.7526,2.24851,0.0019472,0.0019472,0.0019472
10,76.3758,2.17109,1.90031,1.99589,0.50509,0.52283,0.46725,0.12433,2.3534,2.15397,2.06321,0.0019406,0.0019406,0.0019406
11,83.8082,2.10892,1.85675,1.91941,0.47803,0.47541,0.41748,0.12517,2.29808,2.70431,2.02146,0.001934,0.001934,0.001934
12,91.4783,2.05943,1.77683,1.84815,0.4765,0.45902,0.38546,0.08061,2.66155,2.19676,2.26336,0.0019274,0.0019274,0.0019274
13,98.5893,2.045,1.73807,1.82358,0.48748,0.33524,0.33355,0.07428,2.56557,2.54849,2.29216,0.0019208,0.0019208,0.0019208
14,106.582,1.97955,1.68786,1.8017,0.5738,0.54994,0.5067,0.11644,2.44969,2.21928,2.11354,0.0019142,0.0019142,0.0019142
15,114.127,2.02057,1.72288,1.79784,0.56708,0.47541,0.45234,0.09549,2.35639,2.35268,2.11696,0.0019076,0.0019076,0.0019076
16,121.329,1.95663,1.70933,1.74249,0.52072,0.48907,0.43039,0.10178,2.37658,3.77315,2.05413,0.001901,0.001901,0.001901
17,127.732,1.94842,1.67452,1.7667,0.46568,0.45082,0.39034,0.07925,2.62459,1.88852,2.27777,0.0018944,0.0018944,0.0018944
18,134.925,1.89119,1.61984,1.73784,0.498,0.4959,0.46457,0.10402,2.50727,2.23283,2.23045,0.0018878,0.0018878,0.0018878
19,142.175,1.88275,1.62602,1.72455,0.59916,0.57789,0.55934,0.13538,2.36366,2.42269,2.07583,0.0018812,0.0018812,0.0018812
20,150.424,1.92202,1.61994,1.70774,0.61093,0.53279,0.53942,0.12286,2.29705,2.00518,2.02597,0.0018746,0.0018746,0.0018746
21,157.977,1.85567,1.55202,1.65187,0.51461,0.53444,0.43384,0.09542,2.45368,2.33361,2.10205,0.001868,0.001868,0.001868
22,166.518,1.88794,1.56736,1.66815,0.62248,0.62295,0.60304,0.15787,2.25098,1.89844,2.02143,0.0018614,0.0018614,0.0018614
23,173.292,1.8361,1.5763,1.63332,0.59872,0.56557,0.55542,0.13786,2.30304,2.01817,2.01419,0.0018548,0.0018548,0.0018548
24,181.074,1.8125,1.54035,1.65658,0.60026,0.56824,0.51994,0.11253,2.39054,2.33692,1.9899,0.0018482,0.0018482,0.0018482
25,187.34,1.82249,1.51488,1.61171,0.51933,0.52596,0.47364,0.09947,2.40595,2.75877,2.14712,0.0018416,0.0018416,0.0018416
26,194.503,1.79873,1.50588,1.61423,0.44891,0.46311,0.37459,0.07728,2.4505,2.29892,2.13901,0.001835,0.001835,0.001835
27,201.484,1.82138,1.51369,1.60073,0.57344,0.54372,0.52697,0.11745,2.34998,2.11965,2.05821,0.0018284,0.0018284,0.0018284
28,208.377,1.8046,1.51542,1.6182,0.40584,0.46448,0.372,0.08069,2.53876,2.52185,2.21511,0.0018218,0.0018218,0.0018218
29,216.099,1.78472,1.52543,1.60518,0.55991,0.57377,0.52407,0.11829,2.35691,2.25741,2.07841,0.0018152,0.0018152,0.0018152
30,223.719,1.76811,1.45514,1.61562,0.61689,0.64208,0.60028,0.16071,2.20612,2.34987,1.90228,0.0018086,0.0018086,0.0018086
31,230.765,1.78204,1.47544,1.56469,0.67734,0.63664,0.62806,0.17076,2.1621,2.21019,1.86425,0.001802,0.001802,0.001802
32,238.18,1.7562,1.43122,1.5801,0.59632,0.63798,0.60045,0.15663,2.17056,2.02397,1.90247,0.0017954,0.0017954,0.0017954
33,245.587,1.74895,1.45134,1.57851,0.55294,0.55601,0.51251,0.10947,2.35989,2.27959,2.05251,0.0017888,0.0017888,0.0017888
34,253.046,1.77176,1.48595,1.57189,0.46492,0.4877,0.37829,0.07699,2.53836,2.42491,2.21704,0.0017822,0.0017822,0.0017822
35,260.43,1.7463,1.46581,1.56673,0.44296,0.50081,0.36699,0.07688,2.52561,2.24615,2.22221,0.0017756,0.0017756,0.0017756
36,268.008,1.78923,1.41681,1.57422,0.61677,0.5806,0.57434,0.13481,2.45047,1.79382,2.08657,0.001769,0.001769,0.001769
37,275.15,1.72708,1.42968,1.55701,0.61864,0.5888,0.58634,0.1287,2.39214,1.97204,2.05314,0.0017624,0.0017624,0.0017624
38,282.177,1.70121,1.40784,1.55179,0.61809,0.6058,0.57926,0.13217,2.43378,1.78263,2.07168,0.0017558,0.0017558,0.0017558
39,289.843,1.71304,1.40719,1.54232,0.3985,0.51366,0.36475,0.078,2.45323,2.78222,2.19764,0.0017492,0.0017492,0.0017492
40,296.817,1.741,1.42053,1.54152,0.56781,0.59699,0.51488,0.10649,2.51463,2.10938,2.22925,0.0017426,0.0017426,0.0017426
41,304.196,1.72946,1.42905,1.55302,0.58889,0.60109,0.53203,0.11693,2.32129,3.36911,2.00539,0.001736,0.001736,0.001736
42,311.982,1.69022,1.37944,1.49396,0.6511,0.63798,0.60821,0.15217,2.22562,2.61451,1.94876,0.0017294,0.0017294,0.0017294
