epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34876,3.70868,3.62491,4.16072,0.00048,0.01776,0.00026,9e-05,3.69993,4.07723,4.13109,0.00064,0.00064,0.00064
2,15.1829,3.44274,2.99993,3.56757,0.00353,0.15027,0.00206,0.00066,3.47918,3.70193,3.7568,0.00129571,0.00129571,0.00129571
3,23.3944,2.80869,2.63185,2.93081,0.0671,0.11612,0.03036,0.00755,2.77717,3.95209,2.81829,0.00194706,0.00194706,0.00194706
4,31.5367,2.56266,2.33363,2.54068,0.03196,0.15027,0.01384,0.00347,3.08929,4.40207,3.04642,0.0019802,0.0019802,0.0019802
5,40.0918,2.45959,2.28086,2.4027,0.38849,0.33607,0.2856,0.0807,2.38799,2.23112,2.29381,0.0019736,0.0019736,0.0019736
6,47.1282,2.36297,2.12116,2.23068,0.44151,0.4276,0.33769,0.08972,2.46591,2.81302,2.3131,0.001967,0.001967,0.001967
7,54.2256,2.26319,2.04658,2.1862,0.4587,0.40164,0.34332,0.09409,2.39806,3.57672,2.23878,0.0019604,0.0019604,0.0019604
8,61.8987,2.19578,1.92303,2.09318,0.35313,0.31421,0.25447,0.05365,2.73597,3.8429,2.46968,0.0019538,0.0019538,0.0019538
9,69.3109,2.1304,1.87263,2.00807,0.42089,0.40301,0.29774,0.05802,2.72937,3.4941,2.51827,0.0019472,0.0019472,0.0019472
10,76.7487,2.14437,1.87095,1.97189,0.5181,0.38481,0.40547,0.09663,2.43494,2.77922,2.23188,0.0019406,0.0019406,0.0019406
11,84.0359,2.06494,1.82073,1.90076,0.51681,0.50956,0.4496,0.11493,2.36277,2.4719,2.07755,0.001934,0.001934,0.001934
12,91.5371,2.02149,1.71807,1.84493,0.46073,0.45902,0.39642,0.10441,2.41189,2.34077,2.06251,0.0019274,0.0019274,0.0019274
13,98.5224,2.02352,1.72268,1.82776,0.43025,0.43328,0.33957,0.07241,2.46931,2.86873,2.17299,0.0019208,0.0019208,0.0019208
14,106.5,1.962,1.66915,1.79991,0.51787,0.50625,0.43881,0.09364,2.50524,3.08053,2.25409,0.0019142,0.0019142,0.0019142
15,114.069,2.00255,1.6879,1.8092,0.55049,0.5082,0.4679,0.11783,2.18669,2.1018,2.00224,0.0019076,0.0019076,0.0019076
16,121.32,1.95111,1.66351,1.76008,0.43911,0.49044,0.36163,0.09788,2.31945,3.21013,2.07281,0.001901,0.001901,0.001901
17,127.826,1.94416,1.68996,1.78997,0.48795,0.51422,0.43423,0.08212,2.521,1.91868,2.26273,0.0018944,0.0018944,0.0018944
